 ESQUISTOSSOMOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2016
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110004 CACOAL";-;-;-;-;-;1;-;-;-;-;-;-;1
"110011 JARU";-;2;2;1;2;2;-;2;1;-;-;-;12
"110012 JI-PARANA";-;-;2;1;-;-;-;-;-;-;-;-;3
"110014 NOVA BRASILANDIA D'OESTE";-;-;-;-;1;-;-;1;-;-;-;-;2
"110015 OURO PRETO DO OESTE";-;2;4;1;-;-;-;1;1;7;-;-;16
"110018 PIMENTA BUENO";-;-;2;1;-;-;-;-;-;-;-;-;3
"110020 PORTO VELHO";-;1;-;-;1;-;1;-;1;-;1;-;5
"110025 PRESIDENTE MEDICI";1;-;-;-;-;-;-;-;-;-;-;-;1
"110028 ROLIM DE MOURA";-;-;-;-;-;1;-;-;-;-;-;-;1
"110029 SANTA LUZIA D'OESTE";-;-;-;-;-;-;1;-;-;-;-;-;1
"110030 VILHENA";-;-;-;-;1;-;-;-;-;-;-;-;1
"110032 SAO MIGUEL DO GUAPORE";-;-;-;-;-;1;-;-;-;-;-;-;1
"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;1;-;-;-;-;-;-;-;1
"110120 MINISTRO ANDREAZZA";-;-;-;-;-;-;-;-;1;-;-;-;1
"110160 THEOBROMA";-;-;-;-;-;-;-;1;-;-;-;-;1
"110175 VALE DO ANARI";-;-;-;-;-;1;-;-;-;-;-;-;1
"150080 ANANINDEUA";1;1;-;-;-;1;-;-;1;-;-;1;5
"150140 BELEM";-;-;-;-;-;-;-;-;1;-;-;-;1
"150178 BREU BRANCO";-;-;-;-;-;1;-;-;-;-;-;-;1
"150215 CANAA DOS CARAJAS";-;-;-;-;1;-;-;-;-;-;-;-;1
"150420 MARABA";-;-;-;-;-;-;-;1;-;-;-;-;1
"150550 PARAGOMINAS";-;-;-;-;-;-;-;-;-;1;1;-;2
"150680 SANTAREM";-;-;-;1;-;-;-;-;-;-;-;-;1
"172100 PALMAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"210315 CENTRO DO GUILHERME";-;-;1;-;2;-;-;1;-;-;-;-;4
"210750 PACO DO LUMIAR";-;-;-;-;-;5;-;-;-;-;-;-;5
"230210 BATURITE";-;-;1;-;-;-;-;1;-;-;1;-;3
"230440 FORTALEZA";-;1;-;1;-;1;-;1;4;1;5;4;18
"230730 JUAZEIRO DO NORTE";-;-;-;-;1;-;-;-;-;-;-;-;1
"231130 QUIXADA";-;-;1;-;-;-;-;-;-;-;-;-;1
"240420 GOIANINHA";-;-;-;-;-;-;-;-;1;1;-;-;2
"240810 NATAL";1;-;-;1;3;10;5;2;-;-;-;-;22
"240830 NOVA CRUZ";-;-;-;-;-;1;-;-;-;-;-;-;1
"241220 SAO JOSE DE MIPIBU";1;-;-;-;-;-;-;-;-;-;-;-;1
"241470 VARZEA";-;-;-;-;-;-;-;-;1;-;-;-;1
"250053 ALCANTIL";1;-;-;-;-;-;-;-;2;-;-;-;3
"250110 AREIA";2;-;-;2;-;-;-;1;-;-;1;-;6
"250130 AROEIRAS";1;1;1;2;1;-;-;-;-;-;-;-;6
"250150 BANANEIRAS";-;-;-;-;-;1;-;-;-;-;-;-;1
"250157 BARRA DE SANTANA";6;-;-;-;-;2;-;-;-;3;-;1;12
"250190 BELEM";-;-;-;3;-;-;-;1;-;-;-;-;4
"250400 CAMPINA GRANDE";-;-;-;-;-;1;-;-;-;-;-;-;1
"250710 ITAPOROROCA";-;-;-;-;-;-;-;-;-;-;1;-;1
"250720 ITATUBA";-;-;-;-;-;-;-;-;1;1;10;4;16
"250940 MOGEIRO";-;-;-;-;-;-;1;-;-;-;-;-;1
"251120 PEDRAS DE FOGO";1;1;1;3;3;11;2;8;1;4;6;2;43
"251160 PILOES";1;-;-;-;-;-;-;-;-;-;-;-;1
"251170 PILOEZINHOS";-;-;-;-;1;-;-;-;-;-;-;-;1
"251180 PIRPIRITUBA";1;2;4;-;-;-;1;2;1;-;-;-;11
"251250 QUEIMADAS";1;1;-;-;-;-;-;2;-;-;-;-;4
"251275 RIACHAO DO BACAMARTE";-;-;-;-;-;1;-;-;-;-;-;-;1
"251278 RIACHO DE SANTO ANTONIO";-;-;-;-;3;-;-;-;-;-;-;-;3
"251700 UMBUZEIRO";-;-;-;-;-;-;-;-;-;8;-;3;11
"260105 ARACOIABA";-;-;-;-;-;-;1;1;-;-;1;-;3
"260190 BEZERROS";-;3;-;-;-;-;3;1;3;2;-;-;12
"260280 BUIQUE";-;-;-;-;-;-;-;-;-;1;-;-;1
"260440 CHA DE ALEGRIA";-;-;1;-;-;-;-;-;-;-;-;-;1
"260450 CHA GRANDE";-;-;-;-;-;-;-;-;-;-;1;-;1
"260600 GARANHUNS";-;-;1;-;1;-;-;-;-;-;1;-;3
"260720 IPOJUCA";-;-;-;-;-;-;-;-;1;-;-;-;1
"260750 ITAIBA";-;-;1;-;-;-;-;-;-;-;-;-;1
"260775 ITAPISSUMA";-;-;-;-;-;-;-;5;3;-;6;-;14
"260790 JABOATAO DOS GUARARAPES";-;-;1;-;-;-;-;-;-;-;-;-;1
"260800 JATAUBA";-;-;-;-;-;-;-;-;-;-;-;1;1
"260830 JUPI";-;-;-;-;-;-;1;-;-;-;-;-;1
"260840 JUREMA";-;-;-;-;-;-;-;-;1;-;-;1;2
"260845 LAGOA DO CARRO";-;-;-;-;-;-;-;-;1;-;-;-;1
"260915 MANARI";-;1;-;-;-;-;-;-;-;-;-;-;1
"260990 OURICURI";-;-;-;-;-;-;-;1;-;-;-;-;1
"261000 PALMARES";-;1;-;-;-;-;-;-;-;-;-;-;1
"261020 PANELAS";-;1;-;-;1;-;-;-;3;2;-;-;7
"261030 PARANATAMA";-;-;1;-;-;-;-;-;-;-;-;-;1
"261110 PETROLINA";-;-;-;-;1;-;-;-;-;-;-;-;1
"261140 PRIMAVERA";-;-;-;-;-;-;-;1;-;-;-;-;1
"261160 RECIFE";9;6;9;11;5;9;8;9;8;20;11;9;114
"261250 SANTA CRUZ DO CAPIBARIBE";1;-;1;1;1;4;3;1;2;4;1;2;21
"261300 SAO BENTO DO UNA";-;-;-;-;-;1;-;-;-;1;-;-;2
"261310 SAO CAITANO";-;-;-;-;1;-;-;-;-;-;1;-;2
"261320 SAO JOAO";-;-;1;-;-;-;1;-;-;-;-;-;2
"261330 SAO JOAQUIM DO MONTE";-;-;-;-;-;-;-;-;-;-;-;1;1
"261370 SAO LOURENCO DA MATA";-;-;-;-;-;-;-;1;-;-;-;-;1
"261400 SERRITA";-;-;-;-;-;1;-;-;-;-;-;-;1
"261450 SURUBIM";-;-;-;-;-;-;-;-;-;1;-;-;1
"261540 TORITAMA";2;-;2;3;5;1;2;3;1;4;3;-;26
"270020 ANADIA";-;-;1;-;-;-;-;-;1;-;-;-;2
