 ESQUISTOSSOMOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2020
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;-;-;-;1;-;-;-;-;1
"110004 CACOAL";-;-;-;-;1;-;-;-;-;-;-;-;1
"110005 CEREJEIRAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"110007 CORUMBIARA";-;-;-;-;-;-;-;-;-;1;-;-;1
"110009 ESPIGAO D'OESTE";-;-;-;-;-;-;-;-;-;-;-;1;1
"110015 OURO PRETO DO OESTE";2;-;-;1;-;1;-;-;-;1;1;-;6
"110018 PIMENTA BUENO";-;-;-;-;-;1;-;-;-;-;-;-;1
"110020 PORTO VELHO";-;-;-;-;-;-;-;1;-;-;-;-;1
"110025 PRESIDENTE MEDICI";-;-;-;-;-;1;-;-;-;-;-;-;1
"110029 SANTA LUZIA D'OESTE";2;-;-;-;-;-;-;-;-;-;-;-;2
"110030 VILHENA";-;-;-;-;-;-;-;-;-;-;-;1;1
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;-;-;-;-;-;-;-;1;-;1
"110150 SERINGUEIRAS";-;-;-;-;-;1;-;-;-;-;-;-;1
"110180 VALE DO PARAISO";1;-;-;-;-;-;-;-;-;-;-;-;1
"150080 ANANINDEUA";-;-;-;-;-;-;-;1;1;1;-;-;3
"150330 IGARAPE-MIRI";-;-;-;-;-;-;-;-;-;1;-;-;1
"150550 PARAGOMINAS";1;-;-;-;-;-;-;-;-;-;-;-;1
"150590 PORTO DE MOZ";-;1;-;-;-;-;-;-;-;-;-;-;1
"150808 TUCUMA";-;-;1;-;-;-;-;-;-;-;-;-;1
"210055 AMAPA DO MARANHAO";-;-;-;1;-;-;-;-;-;-;-;-;1
"210232 BURITICUPU";1;-;-;-;-;-;-;-;-;-;-;-;1
"210860 PINHEIRO";-;1;-;-;1;1;-;-;-;-;-;-;3
"211023 SANTANA DO MARANHAO";-;-;-;-;-;-;-;-;-;1;-;-;1
"211100 SAO JOAO BATISTA";1;-;-;-;-;-;-;-;-;-;-;-;1
"221100 TERESINA";-;-;-;-;-;-;-;1;-;-;-;-;1
"230260 CAMOCIM";-;-;-;-;-;-;1;-;-;-;-;-;1
"230420 CRATO";-;2;-;-;-;-;-;-;1;-;-;-;3
"230440 FORTALEZA";2;2;-;-;-;-;-;1;1;1;-;1;8
"231010 PALMACIA";-;-;-;-;1;-;-;1;-;-;-;-;2
"231160 REDENCAO";-;-;-;-;-;-;-;-;-;-;3;1;4
"231290 SOBRAL";-;-;-;-;-;-;-;1;-;-;-;-;1
"240810 NATAL";-;-;-;-;-;-;-;1;-;2;-;1;4
"240820 NISIA FLORESTA";-;-;-;1;-;-;-;1;1;-;-;-;3
"240980 PEDRO VELHO";1;2;6;-;-;-;-;-;-;-;-;-;9
"241220 SAO JOSE DE MIPIBU";-;-;-;-;-;-;-;-;1;-;-;-;1
"250040 ALAGOA NOVA";-;-;-;-;-;-;-;-;-;-;1;-;1
"250180 BAYEUX";3;1;-;2;-;-;-;-;-;-;-;-;6
"250400 CAMPINA GRANDE";-;-;-;-;-;-;-;-;-;4;-;1;5
"250570 DONA INES";-;-;-;-;-;-;-;-;-;1;-;-;1
"250630 GUARABIRA";-;-;-;-;-;-;1;-;1;-;-;-;2
"250750 JOAO PESSOA";-;-;-;-;1;-;1;1;-;-;-;-;3
"250830 LAGOA SECA";-;-;-;-;-;-;-;1;-;-;-;-;1
"251080 PATOS";-;-;-;-;-;-;-;-;-;1;-;-;1
"251140 PICUI";-;-;-;-;-;-;-;-;-;-;1;-;1
"251250 QUEIMADAS";-;-;-;-;-;-;-;13;-;-;-;2;15
"251270 REMIGIO";-;-;-;1;-;-;-;-;-;-;-;-;1
