LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2019
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;1;-;-;-;-;-;-;-;-;1
"110004 Cacoal";2;-;-;1;1;-;-;-;-;-;-;-;4
"110070 Campo Novo de Rondônia";-;-;-;1;-;-;-;-;-;-;-;1;2
"110009 Espigão D'Oeste";-;-;-;-;2;-;-;1;-;-;-;-;3
"110012 Ji-Paraná";-;-;-;-;-;-;-;1;-;-;-;-;1
"110013 Machadinho D'Oeste";-;-;-;-;-;-;-;-;-;1;-;-;1
"110050 Novo Horizonte do Oeste";-;-;-;-;1;-;-;-;-;-;-;-;1
"110020 Porto Velho";2;2;-;-;3;-;-;2;-;-;-;-;9
"110028 Rolim de Moura";-;1;-;-;-;-;-;-;-;-;-;-;1
"110030 Vilhena";1;1;-;-;-;-;-;-;-;-;-;-;2
"120010 Brasiléia";-;-;-;-;1;1;1;-;-;-;-;-;3
"120020 Cruzeiro do Sul";1;4;10;1;2;7;3;5;8;6;13;18;78
"120030 Feijó";-;-;-;-;-;-;-;-;-;1;-;1;2
"120033 Mâncio Lima";-;-;-;-;-;-;1;-;-;-;-;-;1
"120040 Rio Branco";1;8;9;10;7;8;8;8;6;12;12;17;106
"120050 Sena Madureira";-;-;-;-;-;1;-;-;-;-;-;-;1
"120060 Tarauacá";-;1;4;-;-;-;-;1;-;1;-;-;7
"130060 Benjamin Constant";-;1;-;-;-;-;-;-;-;-;-;-;1
"130120 Coari";-;-;-;-;-;-;1;1;-;-;-;-;2
"130160 Fonte Boa";-;-;-;-;-;-;-;-;-;1;-;-;1
"130165 Guajará";-;-;-;-;-;-;1;-;-;-;-;-;1
"130260 Manaus";4;5;5;4;5;2;3;1;2;2;6;3;42
"130300 Nhamundá";-;-;-;-;-;-;-;-;1;-;-;-;1
