 ESQUISTOSSOMOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2019
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110004 CACOAL";-;-;-;-;-;-;1;-;-;-;1;-;2
"110011 JARU";1;-;1;1;-;-;-;-;-;-;-;-;3
"110015 OURO PRETO DO OESTE";-;2;2;-;-;2;-;1;-;-;-;-;7
"110018 PIMENTA BUENO";-;2;-;-;-;-;-;-;-;-;-;-;2
"110020 PORTO VELHO";-;-;-;1;-;-;-;1;-;-;-;-;2
"110032 SAO MIGUEL DO GUAPORE";-;-;1;-;-;-;-;-;-;-;-;-;1
"110155 TEIXEIROPOLIS";-;-;-;-;1;-;-;-;-;-;-;-;1
"110180 VALE DO PARAISO";-;-;-;-;-;-;-;1;-;-;-;-;1
"120020 CRUZEIRO DO SUL";-;-;-;-;1;-;-;-;-;-;-;-;1
"150080 ANANINDEUA";-;1;1;1;1;-;-;1;1;-;2;1;9
"150110 BAGRE";-;-;-;-;1;-;-;-;-;-;-;-;1
"150130 BARCARENA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150140 BELEM";-;-;-;-;-;1;-;-;-;-;-;-;1
"150170 BRAGANCA";-;-;-;1;-;-;-;-;-;-;-;-;1
"150309 GOIANESIA DO PARA";-;-;1;-;-;1;-;-;-;-;-;-;2
"150360 ITAITUBA";-;-;-;-;-;-;-;-;-;1;-;-;1
"150390 JURUTI";-;-;-;1;-;-;-;-;-;-;-;-;1
"150405 MAE DO RIO";-;-;1;-;-;-;-;-;-;-;-;-;1
"150506 NOVO REPARTIMENTO";-;-;-;-;-;-;-;-;-;-;1;-;1
"150543 OURILANDIA DO NORTE";-;-;-;-;-;-;-;-;1;-;-;-;1
"150613 REDENCAO";-;-;-;-;-;-;-;-;-;-;1;-;1
"150770 SAO SEBASTIAO DA BOA VISTA";-;-;-;-;-;-;1;-;-;-;-;-;1
"210070 ANAJATUBA";-;-;-;-;1;-;-;-;-;-;-;-;1
"210315 CENTRO DO GUILHERME";-;-;-;-;-;-;-;-;1;-;-;-;1
"210565 JUNCO DO MARANHAO";-;-;-;-;-;-;-;-;1;-;-;-;1
"210770 PARAIBANO";-;-;-;-;-;-;-;-;2;1;-;-;3
"210860 PINHEIRO";-;-;-;-;3;-;-;1;-;-;-;-;4
"211100 SAO JOAO BATISTA";-;-;1;-;-;-;1;-;-;-;-;-;2
"230015 ACARAPE";-;-;-;-;-;-;-;-;-;-;1;-;1
"230120 ARACOIABA";-;-;-;-;-;1;-;-;-;-;-;-;1
"230420 CRATO";-;-;-;-;-;1;-;-;1;1;-;1;4
"230440 FORTALEZA";1;1;-;-;1;3;2;3;2;4;1;-;18
"231010 PALMACIA";-;1;-;-;-;-;-;-;-;-;-;-;1
"231380 URUBURETAMA";1;-;-;-;-;-;-;-;-;-;-;-;1
"240580 JOAO CAMARA";-;-;-;1;-;-;-;-;-;-;-;-;1
"240810 NATAL";1;-;2;2;-;-;-;-;3;-;-;1;9
"240820 NISIA FLORESTA";-;-;1;-;-;-;-;-;4;4;2;-;11
"240980 PEDRO VELHO";-;-;-;-;2;-;-;-;3;-;1;-;6
"241200 SAO GONCALO DO AMARANTE";-;-;-;-;-;-;-;-;-;1;-;-;1
"241220 SAO JOSE DE MIPIBU";-;-;-;-;-;-;-;-;1;-;-;-;1
