LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2015
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;1;-;-;-;-;-;-;-;-;1
"110002 Ariquemes";-;-;1;-;-;-;-;-;-;-;-;-;1
"110004 Cacoal";-;1;-;-;-;-;-;-;-;-;-;-;1
"110080 Candeias do Jamari";-;-;-;-;-;-;-;-;-;-;1;-;1
"110009 Espigão D'Oeste";-;-;-;-;-;-;-;1;-;-;-;-;1
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-;-;-;-;1;-;1
"110011 Jaru";-;-;1;-;-;-;-;-;-;-;-;-;1
"110012 Ji-Paraná";-;-;-;1;-;-;-;-;1;1;-;-;3
"110013 Machadinho D'Oeste";1;-;2;2;1;-;2;1;1;-;-;2;12
"110140 Monte Negro";-;-;-;-;-;-;1;-;-;-;-;-;1
"110015 Ouro Preto do Oeste";1;3;6;6;2;5;2;-;1;2;3;1;32
"110020 Porto Velho";1;4;3;7;1;4;-;1;-;1;4;-;26
"110028 Rolim de Moura";-;-;1;-;-;-;-;-;-;-;-;-;1
"110180 Vale do Paraíso";-;-;-;1;-;1;-;-;-;-;-;-;2
"110030 Vilhena";-;-;-;-;-;-;-;-;-;-;-;1;1
"120001 Acrelândia";-;-;1;-;-;-;-;-;-;-;-;-;1
"120010 Brasiléia";1;-;1;-;1;2;-;-;-;-;-;-;5
"120020 Cruzeiro do Sul";4;5;11;10;8;21;12;6;5;2;6;3;93
"120030 Feijó";-;-;1;1;-;1;1;-;-;-;-;-;4
"120080 Porto Acre";-;-;-;1;1;1;-;-;-;-;-;-;3
"120040 Rio Branco";35;47;384;152;47;37;35;36;22;11;13;21;840
"120042 Rodrigues Alves";-;1;-;-;-;-;1;-;2;-;-;-;4
"120050 Sena Madureira";-;-;3;-;-;2;-;-;-;-;-;-;5
"120070 Xapuri";-;-;10;2;-;-;-;-;-;-;1;-;13
"130260 Manaus";7;4;10;11;4;14;4;4;9;3;1;2;73
"130340 Parintins";-;-;-;-;-;2;-;-;-;-;-;-;2
"130406 Tabatinga";-;-;-;1;-;-;-;-;-;-;-;-;1
"140010 Boa Vista";-;-;-;1;-;-;-;-;-;-;-;-;1
"150080 Ananindeua";1;1;1;1;2;1;2;-;1;-;1;-;11
"150140 Belém";4;5;9;5;12;10;3;6;-;4;2;7;67
"150150 Benevides";-;-;-;-;1;-;-;1;-;-;-;-;2
"150170 Bragança";-;-;-;1;-;2;1;-;-;-;-;-;4
"150180 Breves";-;1;-;-;1;-;-;-;-;1;1;-;4
"150215 Canaã dos Carajás";-;-;-;-;-;-;-;-;-;1;-;-;1
"150240 Castanhal";-;-;-;1;1;2;3;2;-;2;-;-;11
"150340 Inhangapi";-;1;-;-;1;-;-;1;-;1;1;-;5
"150390 Juruti";-;-;-;-;1;-;-;-;-;-;-;-;1
"150442 Marituba";-;-;-;1;-;-;-;-;-;-;-;-;1
"150510 Óbidos";-;-;-;-;1;-;-;-;-;-;-;-;1
"150530 Oriximiná";-;1;-;1;-;-;-;1;-;-;-;-;3
"150550 Paragominas";-;-;-;-;-;-;-;1;-;-;-;-;1
"150650 Santa Izabel do Pará";-;-;-;-;-;-;-;-;1;-;-;-;1
"150680 Santarém";-;1;3;3;2;2;-;1;1;-;-;-;13
"150720 São Domingos do Capim";-;-;-;-;1;-;-;-;-;-;-;-;1
"150746 São João da Ponta";-;-;1;-;-;-;-;-;-;1;-;-;2
"160030 Macapá";-;3;7;5;6;5;5;4;5;1;1;1;43
"160060 Santana";1;-;-;1;1;-;2;2;1;-;-;1;9
"170210 Araguaína";-;-;-;-;-;-;-;-;1;-;-;-;1
"210910 Presidente Dutra";-;1;-;-;-;-;-;-;-;-;-;-;1
"211010 Santa Quitéria do Maranhão";-;-;-;-;-;-;-;2;-;2;-;-;4
"211130 São Luís";1;1;2;3;2;3;1;1;1;-;-;-;15
"221100 Teresina";-;-;-;-;-;1;1;-;-;-;-;-;2
"230060 Altaneira";-;1;-;-;-;-;-;-;-;-;-;-;1
"230440 Fortaleza";-;-;4;4;4;3;2;5;2;-;-;1;25
"230730 Juazeiro do Norte";-;-;-;-;-;-;-;1;-;-;-;-;1
"230765 Maracanaú";-;-;-;-;-;-;-;-;1;-;-;-;1
"231170 Reriutaba";-;-;-;1;-;-;-;-;-;-;-;-;1
"231290 Sobral";-;-;-;-;1;-;-;-;-;-;-;-;1
"240810 Natal";-;3;1;1;-;1;1;1;-;1;-;-;9
"241210 São João do Sabugi";-;-;-;6;6;-;-;-;-;-;-;-;12
"241340 Serra Negra do Norte";1;-;-;-;-;-;-;-;-;-;-;-;1
"250400 Campina Grande";-;-;1;-;1;2;1;1;-;-;1;1;8
"250750 João Pessoa";-;-;-;1;-;-;-;1;1;-;-;-;3
"260005 Abreu e Lima";-;-;-;-;-;-;1;-;-;-;-;-;1
"260290 Cabo de Santo Agostinho";-;1;-;1;1;1;5;2;3;-;-;-;14
"260410 Caruaru";-;-;-;-;-;-;-;1;-;-;-;-;1
"260545 Fernando de Noronha";-;-;-;1;-;-;-;-;-;-;-;-;1
"260790 Jaboatão dos Guararapes";-;1;1;-;-;1;2;-;-;-;-;-;5
"260940 Moreno";-;-;1;-;-;-;-;-;-;-;-;-;1
"260960 Olinda";-;-;-;1;-;1;4;2;-;-;-;-;8
"261070 Paulista";-;1;1;-;-;3;3;2;3;-;-;-;13
"261160 Recife";2;7;9;3;2;9;35;14;7;-;4;1;93
"261370 São Lourenço da Mata";-;-;-;1;-;-;-;1;1;-;-;-;3
"261640 Vitória de Santo Antão";-;-;-;-;-;1;-;-;-;-;-;-;1
"270090 Belo Monte";-;-;-;-;-;-;-;1;-;-;-;-;1
"270430 Maceió";-;2;3;3;1;4;10;2;3;1;-;2;31
"270800 Santana do Ipanema";-;-;-;-;-;-;-;-;-;-;1;-;1
"270930 União dos Palmares";-;-;-;-;-;-;-;-;-;-;1;-;1
"280030 Aracaju";2;2;1;2;3;10;2;4;4;1;3;1;35
"280290 Itabaiana";-;-;-;-;-;-;1;-;-;-;-;-;1
"280440 Neópolis";-;-;-;-;-;-;1;-;-;-;-;-;1
"280670 São Cristóvão";1;-;-;-;-;-;-;-;-;-;-;-;1
"290570 Camaçari";-;-;-;-;1;-;-;-;-;-;-;-;1
"290650 Candeias";-;-;-;-;1;-;-;-;-;-;-;-;1
"291080 Feira de Santana";-;-;-;-;-;1;-;-;-;-;-;-;1
"291320 Ibotirama";-;1;-;-;-;-;-;-;-;-;-;-;1
"291360 Ilhéus";-;-;2;2;-;2;2;-;-;2;-;-;10
"291480 Itabuna";2;1;-;2;1;1;-;-;-;-;-;-;7
"291800 Jequié";-;-;1;-;-;-;-;-;-;-;-;-;1
"291950 Livramento de Nossa Senhora";-;1;-;-;-;-;-;-;-;-;-;-;1
"292230 Muritiba";-;-;-;-;-;-;1;-;-;-;-;-;1
"292740 Salvador";4;1;3;9;19;27;24;4;3;1;2;3;100
"293070 Simões Filho";-;-;-;-;-;1;-;-;-;-;-;-;1
"293330 Vitória da Conquista";-;-;-;-;-;-;-;-;-;1;-;-;1
"310110 Aimorés";-;-;-;-;-;-;-;-;-;-;-;1;1
"310160 Alfenas";-;-;-;1;-;-;-;-;-;-;-;1;2
"310260 Andradas";-;-;-;-;-;-;-;-;-;-;1;-;1
"310450 Arinos";-;1;-;-;-;-;-;-;-;-;-;-;1
"310490 Baependi";-;-;1;-;-;-;-;-;-;-;-;-;1
"310620 Belo Horizonte";5;6;2;3;1;-;-;2;-;-;-;3;22
"310670 Betim";-;-;1;-;-;-;-;-;-;-;-;-;1
"310890 Brazópolis";-;-;-;1;-;-;-;-;-;1;-;-;2
"310900 Brumadinho";1;-;-;-;-;-;-;-;-;-;-;-;1
"311060 Cambuí";-;-;1;-;-;-;-;-;-;-;-;-;1
"311120 Campo Belo";-;-;-;1;-;-;-;-;-;-;-;1;2
"311160 Campos Gerais";-;-;1;-;-;-;-;-;-;-;-;-;1
"311320 Carandaí";-;-;1;-;-;-;-;-;-;-;-;-;1
"311560 Cedro do Abaeté";-;1;-;-;-;-;-;-;-;-;-;-;1
"311830 Conselheiro Lafaiete";-;1;-;1;1;-;-;-;-;-;-;-;3
"311860 Contagem";-;-;-;-;-;-;1;1;-;-;-;-;2
"311940 Coronel Fabriciano";-;-;-;1;-;-;-;-;-;-;-;-;1
"312160 Diamantina";-;1;2;1;-;-;-;-;-;-;-;-;4
"312230 Divinópolis";-;1;-;-;-;-;-;-;-;-;-;-;1
"312510 Extrema";-;-;-;1;-;-;-;-;-;-;-;-;1
"312770 Governador Valadares";-;-;-;-;1;-;-;-;-;-;-;-;1
"313000 Ibituruna";-;-;-;1;-;-;-;-;-;-;-;-;1
"313130 Ipatinga";1;-;-;-;-;-;-;-;-;-;-;-;1
"313190 Itabirito";-;1;-;-;-;-;-;-;-;-;-;-;1
"313240 Itajubá";-;-;2;-;-;-;1;-;1;-;2;-;6
"313250 Itamarandiba";-;1;-;-;-;-;-;-;-;-;-;-;1
"313300 Itamonte";-;-;1;-;-;-;-;-;-;-;-;-;1
"313380 Itaúna";-;-;-;-;-;1;-;-;-;-;-;-;1
"313490 Jacutinga";-;-;-;1;-;-;-;-;-;-;-;2;3
"313670 Juiz de Fora";-;-;-;-;-;1;-;-;-;-;2;-;3
"313720 Lagoa da Prata";-;-;-;-;-;-;-;-;-;-;1;-;1
"313770 Lajinha";-;-;-;-;-;-;-;-;1;-;-;-;1
"313950 Manhumirim";-;1;-;-;-;1;-;-;-;-;-;-;2
"314230 Moeda";-;-;1;-;-;-;-;-;-;-;-;-;1
"314310 Monte Carmelo";-;-;-;1;-;-;-;-;-;-;-;-;1
"314320 Monte Santo de Minas";-;-;-;-;-;-;-;-;1;-;-;-;1
"314480 Nova Lima";-;-;1;-;-;-;-;1;-;1;1;-;4
"314760 Passa Quatro";-;-;-;-;-;-;-;1;-;-;-;1;2
"314810 Patrocínio";-;-;-;-;-;-;1;-;-;1;-;-;2
"315210 Ponte Nova";-;-;-;1;-;-;-;-;-;1;-;-;2
"315670 Sabará";-;1;-;-;-;-;-;-;-;-;-;-;1
"316370 São Lourenço";-;-;-;-;-;-;-;1;-;1;-;-;2
"316390 São Pedro da União";-;-;-;-;-;-;-;-;-;1;-;-;1
"316760 Simonésia";-;-;-;1;-;-;-;-;-;-;-;-;1
"316860 Teófilo Otoni";-;-;-;-;-;-;-;1;-;-;-;-;1
"316890 Tiros";-;-;-;-;-;-;-;1;-;-;-;-;1
"316920 Tombos";-;-;-;-;-;-;-;-;1;-;-;-;1
"316940 Três Pontas";-;-;-;-;-;-;-;-;-;-;1;-;1
"316990 Ubá";-;-;-;-;-;-;-;-;1;1;-;2;4
"317010 Uberaba";-;-;-;2;-;-;-;-;1;-;-;-;3
"317020 Uberlândia";1;-;-;1;1;1;-;-;1;-;-;1;6
"317070 Varginha";1;-;-;1;-;-;-;-;-;-;-;-;2
"317160 Virgem da Lapa";-;-;-;1;-;-;-;-;-;-;-;-;1
"317220 Wenceslau Braz";-;-;1;-;-;-;-;-;-;-;-;-;1
"320020 Alegre";-;-;-;1;-;-;-;-;-;-;-;-;1
"320030 Alfredo Chaves";-;-;-;-;-;-;-;1;1;1;-;-;3
"320080 Baixo Guandu";-;-;-;-;-;1;-;-;-;-;-;-;1
"320120 Cachoeiro de Itapemirim";1;-;-;-;1;-;1;3;-;2;1;1;10
"320130 Cariacica";-;-;-;-;-;-;-;-;-;-;1;-;1
"320140 Castelo";1;-;-;-;-;-;-;-;-;-;-;-;1
"320150 Colatina";-;-;-;-;-;1;1;1;-;-;1;-;4
"320190 Domingos Martins";-;-;-;1;-;-;-;-;-;-;-;-;1
"320210 Ecoporanga";-;-;1;-;2;-;-;-;-;-;-;-;3
"320245 Ibatiba";-;-;1;-;-;-;-;1;-;-;-;-;2
"320280 Itapemirim";-;-;-;1;-;-;-;-;-;-;-;-;1
"320300 Iúna";-;-;1;-;-;-;-;-;-;-;-;-;1
"320310 Jerônimo Monteiro";-;-;-;-;-;-;-;-;1;1;1;-;3
"320320 Linhares";1;-;-;1;-;-;1;-;-;-;1;-;4
"320334 Marechal Floriano";-;-;-;2;-;-;-;-;-;-;-;-;2
"320340 Mimoso do Sul";-;-;-;-;1;-;-;-;-;-;1;-;2
"320455 Santa Maria de Jetibá";-;-;-;-;-;-;-;-;-;-;1;-;1
"320470 São Gabriel da Palha";-;1;-;-;-;-;-;-;-;-;-;-;1
"320480 São José do Calçado";-;-;-;-;-;-;-;1;-;-;-;-;1
"320500 Serra";-;-;-;2;4;1;-;2;-;1;1;3;14
"320503 Vargem Alta";-;-;-;-;-;-;-;-;-;-;-;1;1
"320510 Viana";-;-;1;-;-;-;-;-;-;-;-;-;1
"320520 Vila Velha";-;-;-;-;1;2;-;-;-;1;-;1;5
"320530 Vitória";1;-;2;1;-;3;1;2;-;-;-;3;13
"330010 Angra dos Reis";1;2;-;-;-;-;-;-;-;-;1;-;4
"330020 Araruama";-;-;-;-;-;-;-;1;-;-;-;-;1
"330023 Armação dos Búzios";-;-;-;1;-;-;-;-;-;-;-;-;1
"330040 Barra Mansa";1;-;1;1;-;-;-;-;-;-;-;-;3
"330045 Belford Roxo";1;-;1;-;-;-;-;-;-;-;-;-;2
"330100 Campos dos Goytacazes";-;-;2;3;1;-;-;-;2;1;1;-;10
"330170 Duque de Caxias";-;-;-;1;1;-;2;-;-;1;1;1;7
"330185 Guapimirim";-;-;-;1;1;-;-;-;-;-;-;-;2
"330190 Itaboraí";-;1;-;-;-;-;-;-;-;-;-;-;1
"330210 Itaocara";-;-;1;-;-;-;-;-;-;-;-;-;1
"330220 Itaperuna";1;-;-;-;-;1;1;1;1;1;-;1;7
"330240 Macaé";-;1;1;-;-;-;-;-;-;-;-;-;2
"330260 Mangaratiba";-;-;-;-;-;-;-;-;-;1;-;-;1
"330285 Mesquita";-;-;-;-;1;-;-;1;-;-;-;-;2
"330320 Nilópolis";-;-;-;1;-;-;-;-;-;-;-;-;1
"330330 Niterói";-;1;1;1;-;-;-;1;-;1;-;-;5
"330340 Nova Friburgo";1;-;-;1;-;-;-;-;-;-;-;-;2
"330350 Nova Iguaçu";-;2;1;-;-;-;1;-;-;-;1;-;5
"330390 Petrópolis";2;3;-;1;2;1;2;-;-;-;1;1;13
"330410 Porciúncula";-;1;-;-;-;-;-;-;-;-;-;-;1
"330420 Resende";-;-;2;-;-;-;-;-;-;-;-;-;2
"330430 Rio Bonito";-;-;-;-;-;-;-;-;1;-;-;-;1
"330450 Rio das Flores";-;-;1;-;-;-;-;-;-;-;-;-;1
"330455 Rio de Janeiro";8;6;6;3;1;1;4;3;2;1;4;6;45
"330490 São Gonçalo";-;1;2;2;-;-;-;-;-;1;2;1;9
"330510 São João de Meriti";-;-;-;1;-;-;-;-;-;-;-;-;1
"330580 Teresópolis";-;-;-;-;-;-;-;-;1;-;-;-;1
"330600 Três Rios";-;1;1;-;-;-;-;-;-;-;-;-;2
"330630 Volta Redonda";-;-;2;-;1;-;1;-;-;-;-;-;4
"350010 Adamantina";-;-;-;-;-;-;-;-;-;1;1;-;2
"350050 Águas de Lindóia";-;1;-;-;-;-;-;-;-;-;-;-;1
"350070 Agudos";-;-;-;-;-;-;-;-;-;-;-;2;2
"350160 Americana";-;-;-;-;-;-;1;-;-;-;-;-;1
"350170 Américo Brasiliense";1;-;-;-;-;-;-;-;-;-;-;-;1
"350190 Amparo";-;-;-;1;-;1;-;1;-;-;-;-;3
"350250 Aparecida";-;-;-;-;-;-;-;-;-;-;1;-;1
"350280 Araçatuba";-;-;1;-;-;-;-;-;-;-;-;-;1
"350320 Araraquara";-;-;1;-;-;-;-;-;-;1;-;-;2
"350360 Areiópolis";-;-;1;-;-;-;-;-;-;-;-;-;1
"350400 Assis";3;-;-;-;-;-;-;-;-;-;-;1;4
"350410 Atibaia";1;-;1;-;-;-;-;-;-;-;-;-;2
"350550 Barretos";-;-;1;-;-;-;-;-;-;-;-;-;1
"350570 Barueri";2;-;-;-;-;-;-;-;-;-;1;-;3
