"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"411200 Jaguariaíva";-;-;-;-;-;-;-;-;-;-;-;1;1
"411275 Jesuítas";-;-;-;1;-;-;-;-;-;-;-;-;1
"411320 Lapa";1;-;-;1;-;-;-;-;-;-;-;-;2
"411325 Laranjal";1;-;-;-;-;-;-;-;-;-;-;-;1
"411370 Londrina";1;-;1;-;-;-;-;-;-;-;-;-;2
"411430 Mandirituba";-;-;1;-;-;-;-;-;-;-;-;-;1
"411450 Manoel Ribas";-;-;-;-;-;-;-;-;-;-;-;1;1
"411460 Marechal Cândido Rondon";-;-;-;1;-;-;-;-;-;-;-;-;1
"411520 Maringá";1;-;-;-;-;-;-;-;-;-;-;-;1
"411540 Marmeleiro";-;2;-;-;-;-;-;-;-;-;-;-;2
"411545 Marquinho";1;-;-;-;-;-;-;-;-;-;-;-;1
"411570 Matinhos";-;2;-;-;-;-;-;-;-;-;-;-;2
"411585 Mercedes";-;1;-;-;-;-;-;-;-;-;-;-;1
"411670 Nova Aurora";-;-;-;-;1;-;-;-;-;-;-;-;1
"411700 Nova Fátima";-;-;-;-;-;-;-;-;-;-;-;1;1
"411725 Nova Prata do Iguaçu";-;1;-;-;-;-;-;-;-;-;-;-;1
"411727 Nova Tebas";-;-;2;-;-;-;-;-;-;-;-;-;2
"411760 Palmas";-;-;1;-;-;-;-;-;-;-;-;-;1
"411770 Palmeira";1;-;1;-;-;-;-;-;1;-;-;1;4
"411820 Paranaguá";3;2;4;2;-;-;-;-;-;-;-;-;11
"411860 Paula Freitas";1;-;-;-;-;-;-;-;-;-;-;-;1
"411870 Paulo Frontin";-;-;1;-;-;-;-;-;-;-;-;-;1
"411880 Peabiru";1;-;-;-;-;-;-;-;-;-;-;-;1
"411900 Pérola d'Oeste";-;1;-;1;-;-;-;-;-;-;-;-;2
"411930 Pinhão";1;3;1;-;-;-;-;-;-;-;-;2;7
"411950 Piraquara";3;1;-;1;-;-;-;-;-;-;-;-;5
"411960 Pitanga";-;-;1;-;-;-;-;-;-;-;-;-;1
"411990 Ponta Grossa";1;1;1;-;-;1;-;-;-;-;-;-;4
"411995 Pontal do Paraná";1;-;-;-;-;-;-;-;-;-;-;-;1
"412060 Prudentópolis";-;-;2;-;-;-;-;-;-;-;-;-;2
"412070 Quatiguá";1;-;-;-;-;-;-;-;-;-;-;-;1
"412090 Quedas do Iguaçu";1;-;-;-;-;-;-;-;-;-;-;-;1
"412220 Rio Branco do Sul";-;3;-;-;-;-;-;-;-;-;-;-;3
"412240 Rolândia";-;1;-;-;-;-;-;-;-;-;-;-;1
"412265 Rosário do Ivaí";1;-;-;-;-;-;-;-;-;-;-;-;1
"412300 Salto do Lontra";-;-;1;-;-;-;-;-;-;-;-;-;1
"412350 Santa Helena";-;-;-;-;-;-;-;-;-;-;-;1;1
"412380 Santa Izabel do Oeste";-;-;-;-;1;-;-;-;-;-;-;-;1
"412385 Santa Maria do Oeste";-;1;-;-;-;-;-;-;-;-;-;-;1
"412480 São João";2;-;-;-;-;-;-;-;-;-;-;-;2
"412500 São João do Ivaí";-;-;-;-;1;-;-;-;-;-;-;-;1
"412550 São José dos Pinhais";1;2;1;-;1;-;-;-;-;-;-;1;6
"412625 Sarandi";2;-;-;-;-;-;-;-;-;-;-;-;2
"412665 Sulina";1;-;-;-;-;-;-;-;-;-;-;-;1
"412700 Teixeira Soares";-;-;-;2;-;-;-;-;-;-;-;-;2
"412770 Toledo";-;-;-;1;-;-;-;-;-;-;-;-;1
"412795 Tupãssi";-;1;-;-;-;-;-;-;-;-;-;-;1
"412800 Ubiratã";1;-;-;-;-;-;-;-;-;-;-;-;1
"412820 União da Vitória";-;1;-;-;-;-;-;-;-;-;-;-;1
"420010 Abelardo Luz";-;1;-;-;-;-;-;-;-;-;-;-;1
"420060 Águas Mornas";-;2;1;1;-;-;-;-;-;-;-;-;4
"420120 Antônio Carlos";1;-;-;-;-;-;-;-;-;-;-;-;1
"420130 Araquari";-;-;1;-;-;-;-;-;-;-;-;-;1
"420140 Araranguá";-;1;-;-;-;-;-;-;-;-;-;-;1
"420150 Armazém";-;-;1;-;-;-;-;-;-;-;-;-;1
"420170 Ascurra";-;-;1;-;-;-;-;-;-;-;-;-;1
"420205 Balneário Barra do Sul";-;-;-;-;1;-;-;-;-;-;-;-;1
"420200 Balneário Camboriú";-;-;1;1;-;-;-;-;-;-;-;-;2
"420215 Belmonte";1;-;1;-;-;-;-;-;-;-;-;-;2
"420230 Biguaçu";1;-;-;-;-;-;-;-;-;-;-;-;1
"420240 Blumenau";-;1;2;2;-;-;-;-;-;-;-;-;5
"420260 Bom Retiro";-;-;-;-;1;-;-;-;-;-;-;-;1
"420280 Braço do Norte";-;2;-;-;-;1;-;-;-;-;-;-;3
"420290 Brusque";-;1;1;1;1;-;-;-;-;-;-;-;4
"420350 Campo Erê";-;-;1;-;-;-;-;-;-;-;-;-;1
"420380 Canoinhas";1;-;-;-;-;-;-;-;-;-;-;-;1
"420430 Concórdia";-;-;-;1;1;-;-;-;-;-;-;-;2
"420445 Coronel Martins";-;-;-;1;-;-;-;-;-;-;-;-;1
"420460 Criciúma";-;-;1;-;-;-;-;-;-;-;-;-;1
"420470 Cunha Porã";-;1;1;-;-;-;-;-;-;-;-;-;2
"420490 Descanso";-;-;1;-;-;-;-;-;-;-;-;-;1
"420517 Entre Rios";-;1;-;-;-;-;-;-;-;-;-;-;1
"420540 Florianópolis";1;1;3;6;4;-;-;-;-;-;-;-;15
"420570 Garopaba";1;-;1;-;-;-;-;-;-;-;-;-;2
"420580 Garuva";-;-;-;1;-;-;-;-;-;-;-;-;1
"420600 Governador Celso Ramos";-;-;-;-;1;-;-;-;-;-;-;-;1
"420640 Guaraciaba";1;1;-;-;-;-;-;-;-;-;-;-;2
"420650 Guaramirim";-;1;-;2;-;-;-;-;-;-;-;-;3
"420757 Iomerê";-;-;1;-;-;-;-;-;-;-;-;-;1
"420800 Itá";1;-;-;-;-;-;-;-;-;-;-;-;1
"420820 Itajaí";1;-;1;1;-;-;-;-;-;-;-;-;3
"420845 Itapoá";-;-;1;-;-;-;-;-;-;-;-;-;1
"420860 Jaborá";-;-;1;-;-;-;-;-;-;-;-;-;1
"420880 Jaguaruna";-;-;-;1;-;-;-;-;-;-;-;-;1
"420890 Jaraguá do Sul";-;4;2;-;-;-;-;-;-;-;-;-;6
"420910 Joinville";-;1;6;2;1;-;-;-;-;-;-;-;10
"420930 Lages";-;1;1;-;-;-;-;-;-;-;-;-;2
"420940 Laguna";-;1;-;-;-;-;-;-;-;-;-;-;1
"420960 Lauro Muller";-;-;-;1;-;-;-;-;-;-;-;-;1
"421010 Mafra";-;2;-;1;-;-;-;-;-;-;-;-;3
"421080 Meleiro";-;-;1;-;-;-;-;-;-;-;-;-;1
"421100 Mondaí";1;-;-;-;-;-;-;-;-;-;-;-;1
"421125 Morro Grande";-;1;-;-;-;-;-;-;-;-;-;-;1
"421130 Navegantes";-;1;1;-;-;-;-;-;-;-;-;-;2
"421145 Nova Itaberaba";-;-;-;-;-;1;-;-;-;-;-;-;1
"421150 Nova Trento";-;1;-;-;-;-;-;-;-;-;-;-;1
"421189 Painel";-;-;-;-;-;-;-;-;-;-;-;1;1
"421190 Palhoça";2;-;-;-;-;-;-;-;-;-;-;-;2
"421210 Palmitos";1;-;-;-;1;-;-;-;-;-;-;1;3
"421300 Pinheiro Preto";-;1;-;-;-;-;-;-;-;-;-;-;1
"421350 Porto Belo";-;-;-;-;1;-;-;-;-;-;-;-;1
"421360 Porto União";-;-;-;1;-;-;-;-;-;-;-;1;2
"421370 Pouso Redondo";-;-;-;1;-;-;-;-;-;-;-;-;1
"421450 Rio do Campo";-;-;1;-;-;-;-;-;-;-;-;-;1
"421480 Rio do Sul";-;-;-;1;-;-;-;-;-;-;-;-;1
"421490 Rio Fortuna";-;-;-;1;-;-;-;-;-;-;-;-;1
"421507 Riqueza";-;-;-;-;-;-;-;-;-;-;-;1;1
"421510 Rodeio";3;-;-;-;-;-;-;-;-;-;-;-;3
"421555 Santa Helena";-;-;-;-;1;-;-;-;-;-;-;-;1
"421590 São Bonifácio";1;-;-;-;-;-;-;-;-;-;-;-;1
"421620 São Francisco do Sul";1;-;-;-;-;-;-;-;-;-;-;-;1
"421630 São João Batista";-;-;1;-;-;-;-;-;-;-;-;-;1
"421625 São João do Oeste";-;1;-;-;-;-;-;-;-;-;-;-;1
"421650 São Joaquim";-;-;-;-;-;-;-;-;-;-;-;1;1
"421660 São José";-;-;2;2;-;-;-;-;-;-;-;-;4
"421670 São José do Cedro";1;-;-;-;-;-;-;-;-;-;-;-;1
"421795 Tigrinhos";-;-;-;-;1;-;-;-;-;-;-;-;1
"421800 Tijucas";-;-;-;1;-;-;-;-;-;-;-;-;1
"421870 Tubarão";-;1;1;-;2;-;-;-;-;-;-;-;4
"421880 Turvo";1;-;-;-;-;-;-;-;-;-;-;-;1
"430010 Agudo";-;-;1;-;-;-;-;-;-;-;-;-;1
"430030 Alecrim";-;-;-;-;1;-;-;-;-;-;-;-;1
"430040 Alegrete";1;2;1;-;-;-;-;-;-;-;-;-;4
"430060 Alvorada";2;-;-;-;13;-;-;-;-;-;-;-;15
"430063 Amaral Ferrador";-;1;-;-;-;-;-;-;-;-;-;-;1
"430064 Ametista do Sul";1;-;-;-;-;-;-;-;-;-;-;-;1
"430085 Arambaré";-;-;1;-;-;-;-;-;-;-;-;-;1
"430100 Arroio do Meio";-;-;-;-;3;-;-;-;-;-;-;-;3
"430105 Arroio do Sal";-;-;-;-;1;-;-;-;-;-;-;-;1
"430120 Arroio do Tigre";-;-;3;2;-;-;-;-;-;-;-;-;5
"430110 Arroio dos Ratos";2;-;-;-;-;-;-;-;-;-;-;-;2
"430140 Arvorezinha";-;-;1;-;-;-;-;-;-;-;-;-;1
"430170 Barão de Cotegipe";1;-;-;-;1;-;-;-;-;-;-;-;2
"430210 Bento Gonçalves";-;-;-;1;-;-;-;-;-;-;-;1;2
"430235 Bom Princípio";-;1;-;-;3;-;-;-;-;-;-;-;4
"430280 Caçapava do Sul";3;2;2;-;-;-;-;-;-;-;-;1;8
"430300 Cachoeira do Sul";1;3;1;-;1;-;-;-;-;-;-;1;7
"430310 Cachoeirinha";-;-;-;-;2;-;-;-;-;-;-;-;2
"430320 Cacique Doble";-;-;-;-;-;-;-;-;-;-;-;1;1
"430370 Campina das Missões";-;-;-;1;1;-;-;-;-;-;-;1;3
"430390 Campo Bom";-;-;-;-;1;1;-;-;-;-;-;-;2
"430420 Candelária";1;-;-;-;1;-;-;-;-;-;-;1;3
"430430 Cândido Godói";1;-;-;-;1;-;-;-;-;-;-;-;2
"430440 Canela";-;-;-;-;1;-;-;-;-;-;-;-;1
"430450 Canguçu";-;1;1;-;-;-;-;-;-;-;-;-;2
"430460 Canoas";1;1;-;-;25;2;-;-;-;-;-;-;29
"430468 Capela de Santana";-;-;-;-;-;1;-;-;-;-;-;-;1
"430510 Caxias do Sul";3;1;-;1;-;-;-;-;-;-;-;-;5
"430513 Cerro Branco";-;1;-;-;1;-;-;-;-;-;-;-;2
"430517 Cerro Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;1;1
"430530 Chapada";1;-;-;-;-;-;-;-;-;-;-;-;1
"430535 Charqueadas";-;-;-;1;3;-;-;-;-;-;-;-;4
"430537 Charrua";1;1;-;-;-;-;-;-;-;-;-;-;2
"430544 Chuvisca";-;-;-;1;-;-;-;-;-;-;-;-;1
"430558 Colinas";-;-;1;-;2;-;-;-;-;-;-;-;3
"430605 Cristal";-;-;-;-;-;-;-;-;-;-;-;1;1
"430620 Cruzeiro do Sul";-;1;-;1;8;-;-;-;-;-;-;-;10
"430650 Dom Feliciano";-;1;-;1;-;-;-;-;-;-;-;-;2
"430673 Doutor Maurício Cardoso";-;1;-;1;-;-;-;-;-;-;-;-;2
"430676 Eldorado do Sul";-;-;-;-;5;-;-;-;-;-;-;-;5
"430680 Encantado";-;-;-;-;1;-;-;-;-;-;-;-;1
"430697 Erebango";-;-;-;-;-;-;-;-;-;-;-;1;1
"430700 Erechim";-;-;-;1;1;-;-;-;-;-;-;-;2
"430750 Espumoso";-;-;-;-;1;-;-;-;-;-;-;-;1
"430760 Estância Velha";-;-;-;2;-;-;-;-;-;-;-;-;2
"430780 Estrela";-;-;-;-;9;-;-;-;-;-;-;-;9
"430800 Faxinal do Soturno";-;-;-;-;-;-;-;-;-;-;-;1;1
"430810 Feliz";1;-;-;-;-;-;-;-;-;-;-;1;2
"430843 Forquetinha";1;-;-;-;-;-;-;-;-;-;-;-;1
"430880 General Câmara";-;-;-;-;1;1;-;-;-;-;-;-;2
"430890 Getúlio Vargas";-;-;-;-;1;-;-;-;-;-;-;-;1
"430900 Giruá";-;-;-;-;1;-;-;-;-;-;-;-;1
"430910 Gramado";-;-;-;-;2;-;-;-;-;-;-;-;2
"430920 Gravataí";2;-;-;-;3;-;-;-;-;-;-;1;6
"430930 Guaíba";-;1;1;-;7;-;-;-;-;-;-;-;9
"430940 Guaporé";1;-;-;-;1;-;-;-;-;-;-;-;2
"430975 Ibarama";-;-;-;-;2;-;-;-;-;-;-;-;2
"430990 Ibiraiaras";-;-;-;1;1;-;-;-;-;-;-;-;2
"431010 Igrejinha";-;1;-;-;13;-;-;-;-;-;-;-;14
"431020 Ijuí";-;-;1;-;-;-;-;-;-;-;-;-;1
"431040 Independência";1;-;-;-;-;-;-;-;-;-;-;-;1
"431050 Iraí";-;-;1;-;-;-;-;-;-;-;-;-;1
"431053 Itaara";-;-;-;-;1;1;-;-;-;-;-;-;2
"431100 Jaguarão";-;-;-;-;1;-;-;-;-;-;-;-;1
"431110 Jaguari";-;-;-;-;-;1;-;-;-;-;-;-;1
"431115 Jóia";1;-;-;-;-;-;-;-;-;-;-;-;1
"431140 Lajeado";1;-;1;-;2;-;-;-;-;-;-;-;4
"431162 Lindolfo Collor";-;1;-;-;-;-;-;-;-;-;-;-;1
"431179 Maratá";1;-;-;-;1;-;-;-;-;-;-;-;2
"431180 Marau";1;-;-;-;-;-;-;-;-;-;-;-;1
"431205 Marques de Souza";-;-;-;-;-;1;-;-;-;-;-;-;1
"431215 Mato Leitão";-;-;1;2;2;-;-;-;-;-;-;-;5
"431225 Minas do Leão";-;1;-;-;-;-;-;-;-;-;-;-;1
"431235 Montauri";-;1;-;-;-;-;-;-;-;-;-;-;1
"431240 Montenegro";-;-;-;1;6;-;-;-;-;-;-;-;7
"431310 Nova Palma";1;-;-;-;1;-;-;-;-;1;-;-;3
"431320 Nova Petrópolis";-;-;2;1;-;-;-;-;-;-;-;-;3
"431337 Nova Santa Rita";-;-;-;2;3;-;-;-;-;-;-;-;5
"431340 Novo Hamburgo";1;-;-;1;15;-;-;-;-;-;-;2;19
"431350 Osório";-;-;1;-;-;-;-;-;-;-;-;1;2
"431360 Paim Filho";-;-;-;-;1;-;-;-;-;-;-;-;1
"431365 Palmares do Sul";1;-;-;-;-;-;-;-;-;-;-;-;1
"431380 Palmitinho";-;-;-;-;1;-;-;-;-;-;-;-;1
"431395 Pantano Grande";1;-;-;-;-;-;-;-;-;-;-;-;1
"431405 Parobé";-;-;1;-;2;-;-;-;-;-;-;-;3
"431407 Passo do Sobrado";-;-;-;-;1;-;-;-;-;-;-;-;1
"431410 Passo Fundo";-;1;-;1;2;-;-;-;-;-;-;-;4
"431440 Pelotas";2;-;-;1;1;-;-;-;-;-;-;-;4
"431477 Pontão";-;-;-;-;-;1;-;-;-;-;-;-;1
"431490 Porto Alegre";9;7;4;4;6;1;-;-;-;-;1;2;34
"431517 Protásio Alves";-;-;1;-;-;-;-;-;-;-;-;-;1
"431540 Redentora";-;-;-;1;-;-;-;-;-;-;-;-;1
"431550 Restinga Seca";-;-;-;-;1;-;-;-;-;-;-;-;1
"431560 Rio Grande";-;-;1;1;21;2;-;-;-;-;-;2;27
"431570 Rio Pardo";-;1;1;-;1;-;-;-;-;-;-;-;3
"431600 Rolante";-;-;1;1;3;-;-;-;-;-;-;-;5
"431643 Saldanha Marinho";1;-;-;-;-;-;-;-;-;-;-;-;1
"431660 Sananduva";-;-;1;-;-;-;-;-;-;-;-;-;1
"431670 Santa Bárbara do Sul";-;1;-;-;-;-;-;-;-;-;-;-;1
"431675 Santa Clara do Sul";-;1;-;1;-;-;-;-;-;-;-;1;3
"431680 Santa Cruz do Sul";-;1;3;1;5;-;-;-;-;-;-;1;11
"431690 Santa Maria";2;4;2;-;8;-;-;-;-;-;-;-;16
"431720 Santa Rosa";-;-;-;1;-;-;-;-;-;-;-;-;1
"431725 Santa Tereza";-;-;-;-;1;-;-;-;-;-;-;-;1
"431740 Santiago";-;1;-;-;-;-;-;-;-;-;-;-;1
"431750 Santo Ângelo";-;2;-;-;-;-;-;-;-;-;-;-;2
"431760 Santo Antônio da Patrulha";-;1;-;-;-;-;-;-;-;-;-;-;1
"431755 Santo Antônio do Palma";-;2;-;-;-;-;-;-;-;-;-;-;2
"431790 Santo Cristo";-;1;-;-;1;-;-;-;-;-;-;-;2
"431800 São Borja";7;-;1;-;-;-;-;-;-;-;-;2;10
"431810 São Francisco de Assis";-;1;1;-;-;-;-;-;-;-;-;-;2
"431830 São Gabriel";1;-;-;-;1;-;-;-;-;-;-;-;2
"431840 São Jerônimo";-;-;-;1;-;1;-;-;-;-;-;1;3
"431842 São João da Urtiga";-;-;1;-;-;-;-;-;-;-;-;-;1
"431843 São João do Polêsine";-;1;-;-;-;-;-;-;-;-;-;-;1
"431848 São José do Hortêncio";1;-;-;-;-;-;-;-;-;-;-;-;1
"431870 São Leopoldo";1;1;-;-;8;-;-;-;-;-;-;1;11
"431880 São Lourenço do Sul";1;1;-;-;-;-;-;-;-;-;-;-;2
"431900 São Marcos";-;-;-;1;1;-;-;-;-;-;-;-;2
"431950 São Sebastião do Caí";1;-;-;-;1;-;-;-;-;-;-;-;2
"431970 São Valentim";-;-;-;-;1;-;-;-;-;-;-;-;1
"432000 Sapucaia do Sul";-;-;-;-;2;1;-;-;-;-;-;-;3
"432010 Sarandi";1;-;-;-;-;-;-;-;-;-;-;-;1
"432023 Sede Nova";-;1;-;-;-;-;-;-;-;-;-;-;1
"432026 Segredo";-;-;-;-;1;-;-;-;-;-;-;-;1
"432040 Serafina Corrêa";-;1;-;-;-;-;-;-;-;-;-;-;1
"432067 Sinimbu";-;1;-;-;-;-;-;-;-;-;-;-;1
"432070 Sobradinho";-;-;-;-;3;-;-;-;-;-;-;-;3
"432120 Taquara";-;-;-;-;3;1;-;-;-;-;-;-;4
"432130 Taquari";-;1;1;-;4;2;-;-;-;-;-;-;8
"432145 Teutônia";1;-;-;-;3;-;-;-;-;-;-;-;4
"432150 Torres";-;-;-;-;1;-;-;-;-;-;-;-;1
"432162 Travesseiro";-;-;-;-;3;-;-;-;-;-;-;-;3
"432170 Três Coroas";-;-;-;-;33;-;-;-;-;-;-;-;33
"432180 Três de Maio";-;1;1;-;-;-;-;-;-;-;-;-;2
"432200 Triunfo";-;-;1;-;1;-;-;-;-;-;-;-;2
"432225 Tupandi";-;-;1;-;-;-;-;-;-;-;-;-;1
"432230 Tuparendi";-;1;-;-;-;-;-;-;-;-;-;-;1
"432240 Uruguaiana";1;-;-;-;-;-;-;-;-;-;-;-;1
"432250 Vacaria";-;-;-;1;-;-;-;-;-;-;-;-;1
"432252 Vale Verde";1;-;-;-;-;-;-;-;-;-;-;-;1
"432260 Venâncio Aires";1;1;2;2;12;1;-;-;-;-;-;1;20
"432270 Vera Cruz";-;-;-;1;2;1;-;-;-;-;-;-;4
"432300 Viamão";-;5;-;1;4;-;-;-;-;-;-;-;10
"432335 Vila Lângaro";-;-;1;-;-;-;-;-;-;-;-;-;1
"432377 Westfalia";-;1;1;-;-;-;-;-;-;-;-;-;2
"500220 Bonito";-;1;-;-;-;-;-;-;-;-;-;-;1
"500525 Laguna Carapã";1;-;-;-;-;-;-;-;-;-;-;-;1
"500600 Nova Alvorada do Sul";-;-;1;-;-;-;-;-;-;-;-;-;1
"500710 Ribas do Rio Pardo";1;-;-;-;-;-;-;-;-;-;-;-;1
"510250 Cáceres";-;-;-;1;-;-;-;-;-;-;-;-;1
"510325 Colniza";-;1;-;-;-;-;-;-;-;-;-;-;1
"510510 Juara";-;1;1;1;-;-;-;-;-;-;-;-;3
"510525 Lucas do Rio Verde";-;1;-;-;-;-;-;-;-;-;-;-;1
"510760 Rondonópolis";-;1;1;-;-;-;-;-;-;-;-;-;2
"520140 Aparecida de Goiânia";-;1;-;-;-;-;-;-;-;-;-;-;1
"520330 Bela Vista de Goiás";-;1;-;-;-;-;-;-;-;-;-;-;1
"520870 Goiânia";2;1;-;1;-;-;-;-;-;-;1;1;6
"521730 Pirenópolis";-;-;1;-;-;-;-;-;-;-;-;-;1
"530010 Brasília";2;3;1;2;1;-;-;-;-;-;1;-;10
"000000 Ignorado ou exterior";1;-;-;-;-;-;-;-;-;-;-;-;1
"Total";390;351;357;270;420;29;2;1;1;3;4;96;1924
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas;
 em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos notificados com atraso)
 e em Seleções Disponíveis assinale os anos dos 1ºs sintomas (ex: nº de casos com início de sintomas 2007: selecione na linha UF de residência,
 na Coluna Ano de 1ºs sintomas, em Períodos disponíveis 2007 até o ano atual e em Seleções assinale Ano de 1ºs sintomas 2007).
  Dados de 2020 do Espírito Santo não estão disponíveis neste sistema, pois são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
  Dados de 2007 a 2023 atualizados em 14/04/2024.
  Dados de 2024 atualizados em 28/06/2024, sujeitos à revisão.
 * Dados disponibilizados no TABNET em julho de 2024.
 
