"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"231400 Várzea Alegre";-;-;1;1;-;-;-;-;-;-;-;-;2
"240310 Currais Novos";-;-;1;-;-;-;-;-;-;-;-;-;1
"240380 Florânia";-;-;-;-;1;-;-;-;-;-;-;-;1
"240420 Goianinha";-;1;-;-;-;-;-;-;-;-;-;-;1
"240670 Lajes";-;-;-;1;-;-;-;-;-;-;-;-;1
"240800 Mossoró";-;-;-;-;1;-;-;-;-;-;-;-;1
"240810 Natal";-;1;-;-;-;-;-;-;-;-;-;-;1
"241300 São Vicente";-;-;1;-;1;-;-;-;-;-;-;-;2
"241350 Serrinha";-;-;-;-;1;-;-;-;-;-;-;-;1
"241355 Serrinha dos Pintos";1;-;1;-;-;-;-;-;-;-;-;-;2
"241415 Tenente Laurentino Cruz";-;1;-;-;-;-;-;-;-;-;-;-;1
"250180 Bayeux";-;1;-;-;-;-;-;-;-;-;-;-;1
"250400 Campina Grande";1;-;-;-;-;-;-;-;-;-;-;-;1
"250750 João Pessoa";-;1;-;1;1;-;-;-;-;-;-;-;3
"251230 Princesa Isabel";-;-;1;-;-;-;-;-;-;-;-;-;1
"251250 Queimadas";-;1;-;-;-;-;-;-;-;-;-;-;1
"251370 Santa Rita";1;-;-;-;1;-;-;-;-;-;-;-;2
"251700 Umbuzeiro";-;1;-;-;-;-;-;-;-;-;-;-;1
"260005 Abreu e Lima";1;-;-;-;-;-;-;-;-;-;-;-;1
"260010 Afogados da Ingazeira";-;-;1;-;-;-;-;-;-;-;-;-;1
"260290 Cabo de Santo Agostinho";-;2;3;-;-;-;-;-;-;-;-;-;5
"260345 Camaragibe";1;2;4;1;-;-;-;-;-;-;-;-;8
"260410 Caruaru";1;-;1;1;-;-;-;-;-;-;-;1;4
"260450 Chã Grande";-;1;-;-;-;-;-;-;-;-;-;-;1
"260500 Cupira";-;1;-;-;-;-;-;-;-;-;-;-;1
"260600 Garanhuns";1;-;-;-;-;-;-;-;-;-;-;-;1
"260720 Ipojuca";-;1;-;-;-;-;-;-;-;-;-;1;2
"260790 Jaboatão dos Guararapes";-;2;1;2;-;-;-;-;-;-;-;1;6
"260940 Moreno";1;-;-;-;-;-;-;-;-;-;-;-;1
"260960 Olinda";1;-;2;-;-;-;-;-;-;-;-;-;3
"261070 Paulista";1;-;-;-;-;-;-;-;-;-;-;-;1
"261160 Recife";3;8;8;4;3;-;-;-;-;-;-;3;29
"261250 Santa Cruz do Capibaribe";1;-;-;-;-;-;-;-;-;-;-;-;1
"261370 São Lourenço da Mata";1;-;-;-;-;-;-;-;-;-;-;-;1
"261640 Vitória de Santo Antão";1;-;-;-;-;-;-;-;-;-;-;-;1
"270170 Capela";-;-;1;-;1;-;-;-;-;-;-;1;3
"270200 Coité do Nóia";-;-;-;-;1;-;-;-;-;-;-;-;1
"270430 Maceió";2;-;-;3;2;1;-;-;-;-;-;-;8
"280030 Aracaju";1;-;1;1;1;2;-;-;-;-;-;1;7
"280290 Itabaiana";-;-;-;-;1;-;-;-;-;-;-;-;1
"280350 Lagarto";-;-;1;-;-;-;-;-;-;-;-;-;1
"280400 Maruim";-;-;1;-;-;-;-;-;-;-;-;-;1
"280480 Nossa Senhora do Socorro";1;1;-;-;-;-;-;-;-;-;-;1;3
"280540 Poço Redondo";-;-;-;1;-;-;-;-;-;-;-;-;1
"280580 Riachão do Dantas";-;-;1;-;-;-;-;-;-;-;-;-;1
"280670 São Cristóvão";-;-;1;-;-;-;-;-;-;-;-;-;1
"290630 Canavieiras";-;-;-;1;1;-;-;-;-;-;-;-;2
"290800 Coaraci";-;-;1;-;-;-;-;-;-;-;-;-;1
"290940 Cotegipe";-;1;-;-;-;-;-;-;-;-;-;-;1
"291080 Feira de Santana";-;-;1;1;-;-;-;-;-;-;-;-;2
"291360 Ilhéus";-;2;1;1;1;-;-;-;-;-;-;-;5
"291480 Itabuna";1;-;-;2;-;-;-;-;-;-;-;-;3
"291490 Itacaré";-;-;-;-;2;-;-;-;-;-;-;-;2
"291550 Itajuípe";-;1;-;-;-;-;-;-;-;-;-;-;1
"291800 Jequié";-;1;1;-;-;-;-;-;-;-;-;-;2
"291855 Jussari";-;-;-;-;1;-;-;-;-;-;-;-;1
"292630 Riachão do Jacuípe";-;-;-;-;1;-;-;-;-;-;-;-;1
"292740 Salvador";8;6;6;15;16;-;-;-;-;-;-;1;52
"292870 Santo Antônio de Jesus";-;-;1;-;-;-;-;-;-;-;-;-;1
"293070 Simões Filho";-;-;-;2;1;-;-;-;-;-;-;1;4
"293290 Valença";-;-;-;1;-;-;-;-;-;-;-;-;1
"310130 Alagoa";-;1;-;-;-;-;-;-;-;-;-;-;1
"310190 Alpinópolis";1;-;-;-;-;-;-;-;-;-;-;-;1
"310280 Andrelândia";-;-;-;-;-;-;-;-;-;-;-;1;1
"310400 Araxá";1;-;-;-;-;-;-;-;-;-;-;-;1
"310560 Barbacena";-;1;-;-;-;-;-;-;-;-;-;-;1
"310620 Belo Horizonte";2;-;1;-;-;-;-;-;-;-;-;-;3
"310670 Betim";-;-;-;-;-;-;-;-;-;-;-;1;1
"310800 Bom Sucesso";1;-;-;-;-;-;-;-;-;-;-;-;1
"310910 Bueno Brandão";-;-;1;-;-;-;-;-;-;-;-;-;1
"311000 Caeté";-;-;-;-;-;-;1;-;-;-;-;-;1
