LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2022
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110045 Buritis";-;-;-;-;-;-;-;-;1;-;-;-;1
"110004 Cacoal";-;-;1;-;-;-;-;1;-;-;-;1;3
"110012 Ji-Paraná";-;-;-;1;-;-;-;-;-;1;-;-;2
"110015 Ouro Preto do Oeste";-;-;-;1;-;-;-;-;-;-;1;-;2
"110020 Porto Velho";1;-;-;1;-;1;1;-;-;1;-;-;5
"110025 Presidente Médici";-;-;1;-;-;-;-;-;-;-;-;-;1
"110155 Teixeirópolis";-;-;1;-;-;-;-;-;-;-;-;-;1
"110170 Urupá";-;-;-;-;-;-;-;-;1;-;-;-;1
"110030 Vilhena";1;-;-;-;-;-;-;-;-;-;-;-;1
"120001 Acrelândia";-;-;-;-;-;1;-;-;-;-;-;-;1
"120010 Brasiléia";-;-;1;-;-;-;-;-;-;-;-;-;1
"120013 Bujari";-;-;-;-;1;-;-;-;-;-;-;-;1
"120020 Cruzeiro do Sul";7;2;3;-;10;4;3;4;2;3;4;-;42
"120030 Feijó";-;-;-;-;-;-;-;-;1;-;-;-;1
"120033 Mâncio Lima";-;-;-;-;1;-;1;-;-;-;-;-;2
"120035 Marechal Thaumaturgo";-;-;-;-;-;1;-;-;-;-;-;-;1
"120040 Rio Branco";2;6;7;3;5;3;1;1;2;-;2;6;38
"120042 Rodrigues Alves";-;-;2;-;1;-;-;-;-;-;-;-;3
"120043 Santa Rosa do Purus";-;-;-;-;-;1;-;-;-;-;-;-;1
"120070 Xapuri";-;-;1;-;-;-;-;-;-;-;-;-;1
"130010 Anori";-;-;-;-;-;1;2;-;-;-;-;-;3
"130063 Beruri";1;-;-;-;-;-;-;-;-;-;-;-;1
"130260 Manaus";2;5;1;6;3;6;5;3;1;1;4;3;40
"130340 Parintins";-;-;-;-;1;-;-;-;-;-;-;-;1
"130370 Santo Antônio do Içá";-;-;-;-;-;-;-;-;-;-;1;-;1
"130406 Tabatinga";-;-;-;-;-;-;-;-;-;-;-;1;1
"130420 Tefé";-;-;1;-;-;-;-;-;-;-;-;-;1
"140010 Boa Vista";-;-;-;-;-;-;-;1;-;3;-;-;4
"140030 Mucajaí";-;-;-;-;-;-;-;-;-;1;-;-;1
"140047 Rorainópolis";-;-;-;1;-;-;-;-;-;-;-;-;1
"150010 Abaetetuba";1;1;-;1;2;3;1;-;1;-;-;-;10
"150040 Alenquer";-;-;-;-;1;-;-;-;-;-;-;-;1
"150060 Altamira";-;-;-;-;1;-;-;-;-;-;-;-;1
"150080 Ananindeua";-;1;-;1;-;1;1;-;-;-;-;1;5
"150120 Baião";-;-;-;-;1;-;-;-;-;-;-;-;1
"150130 Barcarena";-;-;-;1;-;-;-;-;-;-;-;-;1
"150140 Belém";-;3;2;5;10;14;4;2;3;-;-;2;45
"150170 Bragança";-;2;1;-;1;-;-;-;-;-;-;-;4
"150180 Breves";-;-;-;-;-;-;2;-;-;-;-;-;2
"150210 Cametá";1;-;1;-;1;-;-;2;1;-;-;-;6
"150240 Castanhal";-;-;2;1;-;-;-;1;-;-;-;1;5
"150340 Inhangapi";-;-;-;-;-;-;-;2;-;-;-;-;2
"150360 Itaituba";-;-;-;-;1;-;-;-;-;-;-;-;1
"150420 Marabá";-;-;1;-;-;-;-;-;-;-;-;1;2
"150442 Marituba";-;-;-;1;1;2;-;-;-;-;-;-;4
"150550 Paragominas";-;1;-;-;-;-;-;-;-;-;-;-;1
"150553 Parauapebas";-;-;-;-;-;-;-;-;-;-;1;-;1
"150565 Placas";-;-;1;-;-;-;-;-;-;-;-;-;1
"150613 Redenção";-;-;1;-;1;-;-;-;-;-;-;-;2
"150635 Santa Bárbara do Pará";-;-;-;-;1;-;-;-;-;-;-;-;1
"150650 Santa Izabel do Pará";-;-;-;-;1;-;-;-;-;-;-;-;1
"150680 Santarém";-;-;-;2;2;1;-;1;1;1;-;-;8
"150720 São Domingos do Capim";-;-;1;-;-;-;-;-;-;-;-;-;1
"150795 Tailândia";-;1;1;-;-;-;-;-;-;-;-;-;2
"160030 Macapá";1;3;2;4;3;5;-;1;1;1;1;-;22
"160050 Oiapoque";-;-;1;-;1;-;-;1;-;-;-;-;3
"160060 Santana";-;3;1;1;1;2;1;1;1;-;-;-;11
"170210 Araguaína";-;-;-;-;1;-;-;-;-;-;-;-;1
"170950 Gurupi";-;-;-;-;-;-;-;1;-;-;-;-;1
"172100 Palmas";1;-;2;-;2;-;-;-;-;-;1;-;6
"171820 Porto Nacional";-;-;-;-;1;-;-;-;-;-;-;-;1
"171850 Recursolândia";-;2;1;-;-;-;-;-;-;-;-;-;3
"210120 Bacabal";-;-;-;2;-;1;-;-;-;-;-;-;3
"210320 Chapadinha";-;-;-;-;-;-;1;-;-;-;-;-;1
