 ESQUISTOSSOMOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2022
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110004 CACOAL";-;-;-;-;-;-;1;-;-;-;-;-;1
"110011 JARU";-;-;-;-;-;-;-;-;-;1;-;-;1
"110012 JI-PARANA";-;-;1;1;1;-;-;-;-;-;-;-;3
"110014 NOVA BRASILANDIA D'OESTE";1;-;-;-;-;-;-;-;-;-;-;-;1
"110015 OURO PRETO DO OESTE";1;-;-;1;-;2;3;4;1;3;2;7;24
"110020 PORTO VELHO";-;-;-;-;-;-;2;-;-;-;-;1;3
"110094 CUJUBIM";-;-;-;-;-;-;-;1;-;-;-;-;1
"110150 SERINGUEIRAS";-;-;-;-;-;1;-;-;-;-;-;-;1
"110160 THEOBROMA";-;-;-;-;-;-;-;-;-;1;-;-;1
"110180 VALE DO PARAISO";-;-;-;1;-;-;-;-;-;-;-;-;1
"120035 MARECHAL THAUMATURGO";-;-;-;-;-;-;-;-;-;-;1;-;1
"150034 AGUA AZUL DO NORTE";-;-;-;-;1;-;-;-;-;-;-;-;1
"150060 ALTAMIRA";-;-;-;-;-;-;1;-;-;-;-;-;1
"150080 ANANINDEUA";-;-;-;-;-;-;-;-;-;-;-;1;1
"150130 BARCARENA";-;-;-;-;-;3;-;-;-;-;-;-;3
"150140 BELEM";-;-;-;1;-;-;-;1;-;1;-;-;3
"150215 CANAA DOS CARAJAS";-;-;-;-;-;-;-;-;-;-;1;-;1
"150420 MARABA";-;1;-;-;-;-;1;-;-;1;-;-;3
"150442 MARITUBA";-;-;-;1;-;-;-;-;-;-;-;-;1
"150470 MOJU";-;-;-;-;-;1;-;-;-;-;-;-;1
"150506 NOVO REPARTIMENTO";-;-;-;-;-;-;-;-;-;-;2;-;2
"150618 RONDON DO PARA";-;1;-;-;-;-;-;-;-;-;-;-;1
"150680 SANTAREM";-;-;-;-;-;-;-;-;1;-;-;-;1
"172100 PALMAS";-;-;1;-;-;1;-;-;-;-;-;-;2
"210020 ALCANTARA";-;-;-;-;-;-;-;-;-;-;1;-;1
"210047 ALTO ALEGRE DO PINDARE";-;-;-;-;-;-;-;-;-;1;-;-;1
"210170 BARREIRINHAS";-;-;-;1;-;-;-;-;-;-;-;-;1
"210315 CENTRO DO GUILHERME";-;-;1;-;-;-;-;-;-;-;-;-;1
"210750 PACO DO LUMIAR";-;-;-;-;-;-;-;-;1;-;-;-;1
"210770 PARAIBANO";-;-;-;-;-;-;-;-;-;2;-;-;2
"210860 PINHEIRO";-;-;-;-;-;-;-;1;-;-;-;-;1
"210890 POCAO DE PEDRAS";-;-;-;-;1;-;-;-;-;-;-;-;1
"211003 SANTA LUZIA DO PARUA";-;-;-;-;-;-;-;-;-;-;-;1;1
"211100 SAO JOAO BATISTA";-;-;-;-;-;-;-;-;-;-;-;1;1
"211130 SAO LUIS";2;-;-;-;1;-;-;2;-;1;3;-;9
"211245 TURILANDIA";-;-;-;-;-;-;1;-;-;-;-;-;1
"220700 OEIRAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"230120 ARACOIABA";-;-;-;-;-;-;1;-;-;-;-;-;1
"230440 FORTALEZA";1;1;-;-;-;-;6;-;-;-;-;2;10
"231140 QUIXERAMOBIM";1;-;-;-;-;-;-;-;-;-;-;-;1
"231160 REDENCAO";-;-;2;-;-;-;-;1;-;3;-;-;6
"231220 SANTA QUITERIA";-;-;-;-;-;-;-;-;1;-;-;-;1
"231290 SOBRAL";-;1;-;-;1;-;-;-;-;-;-;-;2
"231320 TAMBORIL";-;-;-;-;-;-;-;-;-;1;-;-;1
"240120 ARES";-;-;-;-;-;-;-;-;1;-;-;-;1
"240310 CURRAIS NOVOS";-;-;-;-;-;-;3;-;-;-;-;-;3
"240720 MACAU";-;-;-;-;-;-;-;-;-;1;-;-;1
"240810 NATAL";-;2;5;1;-;1;1;1;2;2;-;2;17
"240820 NISIA FLORESTA";-;-;-;-;-;1;1;-;-;-;-;-;2
"241360 SEVERIANO MELO";1;-;-;-;-;-;-;-;-;-;-;-;1
"250030 ALAGOA GRANDE";-;-;-;-;-;-;-;-;-;1;-;-;1
"250060 ALHANDRA";4;5;2;3;1;-;-;-;-;-;-;-;15
"250080 ARACAGI";-;-;1;-;-;-;-;-;-;-;-;-;1
"250157 BARRA DE SANTANA";-;-;-;-;-;-;1;-;-;3;-;1;5
"250180 BAYEUX";1;-;-;-;-;-;-;-;-;-;-;-;1
"250190 BELEM";-;-;-;-;-;-;-;1;-;-;-;-;1
"250215 BOA VISTA";-;-;-;1;-;-;-;-;-;-;-;-;1
"250250 BOQUEIRAO";-;-;-;-;-;-;-;-;-;-;1;-;1
"250320 CABEDELO";-;1;-;-;1;-;-;1;-;-;-;-;3
"250380 CALDAS BRANDAO";-;-;-;-;-;-;-;-;-;1;-;-;1
"250400 CAMPINA GRANDE";-;-;1;1;1;2;3;1;1;-;4;1;15
"250470 CONGO";-;-;-;-;-;-;-;-;-;1;-;-;1
"250535 DAMIAO";-;-;-;-;-;-;-;-;1;-;-;-;1
"250600 ESPERANCA";-;-;1;-;-;-;-;-;-;-;-;-;1
"250710 ITAPOROROCA";-;1;-;-;-;-;-;-;-;-;-;-;1
"250750 JOAO PESSOA";-;-;-;-;-;1;-;-;-;-;-;-;1
"250770 JUAZEIRINHO";-;-;-;-;-;-;1;-;-;-;-;-;1
"250860 LUCENA";-;-;-;-;2;1;-;1;-;-;-;-;4
"251080 PATOS";-;-;-;-;1;-;-;-;-;-;-;-;1
"251150 PILAR";-;-;-;-;1;-;-;-;-;-;-;-;1
"251180 PIRPIRITUBA";-;-;-;-;-;-;-;-;1;-;-;-;1
"251250 QUEIMADAS";-;4;-;8;-;5;4;1;-;-;2;1;25
"251278 RIACHO DE SANTO ANTONIO";-;1;-;-;-;-;-;-;-;-;-;-;1
"251290 RIO TINTO";-;-;-;-;-;-;-;-;-;-;-;1;1
"251315 SANTA CECILIA";-;-;-;-;-;-;-;-;-;1;-;-;1
"251370 SANTA RITA";-;-;-;-;-;-;-;-;-;1;-;-;1
"251390 SAO BENTO";-;-;1;-;-;-;-;-;-;-;-;-;1
"251445 SAO JOSE DOS RAMOS";-;-;1;-;-;-;-;-;-;-;-;-;1
"251630 SUME";1;-;-;-;-;-;-;-;-;-;-;-;1
"260005 ABREU E LIMA";-;-;-;-;2;1;-;-;2;1;-;-;6
"260050 AGUAS BELAS";1;-;2;-;-;1;1;-;-;-;-;-;5
"260100 ANGELIM";1;-;-;-;-;-;-;-;-;-;-;-;1
"260105 ARACOIABA";-;-;1;-;-;-;-;-;-;1;-;-;2
"260320 CAETES";-;-;-;-;-;-;-;1;-;-;-;-;1
"260410 CARUARU";-;1;-;-;-;-;-;-;-;-;-;-;1
"260440 CHA DE ALEGRIA";3;1;1;-;-;2;-;2;-;-;-;2;11
"260450 CHA GRANDE";-;-;-;-;-;-;-;1;-;-;-;-;1
"260490 CUMARU";-;-;-;1;-;-;-;-;1;-;-;-;2
"260600 GARANHUNS";-;-;-;-;1;-;1;-;-;-;-;-;2
"260650 IATI";-;-;-;-;-;-;-;-;-;-;-;1;1
"260680 IGARASSU";-;1;-;-;1;1;-;2;-;-;-;-;5
"260750 ITAIBA";-;-;-;-;-;-;-;-;-;-;-;1;1
"260800 JATAUBA";-;1;-;-;-;-;-;1;-;-;-;-;2
"260825 JUCATI";-;-;1;-;-;-;-;-;-;1;-;1;3
"260860 LAGOA DO OURO";-;-;-;-;-;-;1;-;-;1;-;-;2
