LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2021
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"291080 Feira de Santana";-;-;-;1;-;-;-;-;-;-;-;1;2
"291360 Ilhéus";-;-;-;-;-;-;-;-;-;1;-;-;1
"291460 Irecê";-;-;-;-;-;-;-;-;-;-;1;-;1
"291480 Itabuna";-;-;-;-;1;1;-;-;1;-;1;-;4
"291800 Jequié";-;-;-;-;1;-;-;-;-;-;1;-;2
"291920 Lauro de Freitas";-;1;-;-;-;-;-;-;-;-;-;-;1
"292740 Salvador";3;2;2;4;3;4;2;8;6;4;2;4;44
"293060 Serrolândia";-;-;-;1;-;-;-;-;-;-;-;-;1
"293070 Simões Filho";-;-;-;-;-;-;-;-;-;-;-;1;1
"310010 Abadia dos Dourados";-;-;-;-;-;-;-;-;1;-;-;-;1
"310020 Abaeté";-;-;1;-;-;-;-;-;-;-;-;-;1
"310080 Aguanil";-;-;-;-;-;-;-;-;-;-;1;-;1
"310260 Andradas";-;-;-;-;-;-;-;-;1;1;-;-;2
"310400 Araxá";-;-;1;-;-;-;-;-;-;-;-;-;1
"310410 Arceburgo";-;-;-;-;-;-;-;-;-;1;-;-;1
"310620 Belo Horizonte";2;6;5;-;1;2;1;-;1;4;4;-;26
"310640 Belo Vale";-;-;-;-;-;-;-;-;-;-;-;1;1
"310670 Betim";1;-;-;-;1;-;-;-;-;-;-;-;2
"310800 Bom Sucesso";-;-;-;-;-;-;-;1;1;-;-;-;2
"311060 Cambuí";-;-;-;-;-;-;-;-;-;-;-;1;1
"311160 Campos Gerais";-;-;-;1;-;-;-;-;-;-;-;-;1
"311190 Cana Verde";-;1;-;-;-;-;-;-;-;-;-;-;1
"311330 Carangola";-;-;-;-;1;-;-;-;-;-;-;-;1
"311450 Carmópolis de Minas";-;-;-;-;-;-;-;-;-;-;1;1;2
"311530 Cataguases";-;-;-;1;1;-;-;-;-;-;-;-;2
