 ESQUISTOSSOMOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2021
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110010 GUAJARA-MIRIM";-;-;-;-;-;1;-;-;-;-;-;-;1
"110012 JI-PARANA";-;-;1;-;-;1;-;-;1;-;-;-;3
"110015 OURO PRETO DO OESTE";-;-;-;1;1;1;1;-;2;1;-;2;9
"110028 ROLIM DE MOURA";-;-;-;-;-;-;-;-;1;-;-;-;1
"110032 SAO MIGUEL DO GUAPORE";-;-;-;-;-;-;-;-;-;1;-;-;1
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;1;-;-;-;-;-;-;-;-;1
"110180 VALE DO PARAISO";-;-;-;-;1;-;-;-;-;-;-;-;1
"130260 MANAUS";-;-;-;-;-;-;-;-;-;1;-;-;1
"150170 BRAGANCA";-;-;-;-;-;-;-;2;-;-;-;-;2
"150172 BRASIL NOVO";-;1;-;-;-;-;-;-;-;-;-;-;1
"150420 MARABA";-;-;-;-;-;-;-;1;-;-;1;-;2
"150553 PARAUAPEBAS";-;-;-;-;1;-;-;-;-;-;-;-;1
"150613 REDENCAO";-;-;-;-;1;-;-;-;-;-;-;1;2
"150650 SANTA IZABEL DO PARA";-;-;-;-;-;-;-;-;-;-;1;-;1
"150770 SAO SEBASTIAO DA BOA VISTA";-;-;-;-;-;1;-;-;-;-;-;-;1
"160030 MACAPA";-;-;-;1;2;-;-;-;-;1;-;-;4
"171610 PARAISO DO TOCANTINS";-;-;-;1;-;-;-;-;-;-;-;-;1
"172100 PALMAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"210005 ACAILANDIA";-;-;-;-;-;-;-;-;-;-;1;-;1
"210020 ALCANTARA";-;-;-;-;-;-;-;-;1;-;-;-;1
"210170 BARREIRINHAS";-;-;-;-;-;-;-;-;-;1;-;-;1
"210315 CENTRO DO GUILHERME";-;-;1;-;-;-;1;-;-;-;-;-;2
"210530 IMPERATRIZ";-;-;-;-;-;1;-;1;-;-;-;-;2
"210825 PEDRO DO ROSARIO";-;-;-;1;-;-;-;-;-;-;-;-;1
"210860 PINHEIRO";1;-;-;-;-;-;-;-;-;-;-;-;1
"211023 SANTANA DO MARANHAO";-;-;-;-;-;-;-;1;-;-;-;-;1
"211100 SAO JOAO BATISTA";-;-;1;-;-;-;-;-;-;-;1;-;2
"211130 SAO LUIS";-;1;-;1;1;-;1;-;-;-;-;-;4
"211178 SERRANO DO MARANHAO";-;-;-;-;-;-;-;-;4;-;-;-;4
"220790 PEDRO II";-;-;1;-;-;-;-;-;-;-;-;-;1
"221100 TERESINA";-;-;-;-;-;-;1;-;-;-;1;-;2
"230120 ARACOIABA";-;1;-;-;-;-;2;-;-;-;-;-;3
"230230 BELA CRUZ";-;-;-;-;-;-;-;-;-;-;1;-;1
"230440 FORTALEZA";1;2;-;1;-;1;3;-;-;-;-;2;10
"230540 ICO";-;-;-;-;-;-;1;-;-;1;-;-;2
"230770 MARANGUAPE";-;-;-;-;-;-;-;-;1;-;-;-;1
"231010 PALMACIA";-;-;-;-;-;-;-;1;-;-;-;-;1
"231160 REDENCAO";1;-;1;-;-;-;-;-;-;3;5;1;11
"240420 GOIANINHA";-;-;-;-;-;-;-;-;-;-;2;-;2
"240580 JOAO CAMARA";-;-;-;-;-;-;1;-;-;-;-;-;1
"240810 NATAL";2;1;1;-;1;4;1;6;3;3;1;3;26
"240820 NISIA FLORESTA";-;-;8;1;-;-;-;1;-;-;-;-;10
"240895 RIO DO FOGO";-;-;-;-;-;-;-;-;-;1;-;-;1
"241470 VARZEA";-;-;1;-;-;-;-;-;-;-;-;-;1
"250080 ARACAGI";-;-;-;2;-;-;-;-;-;-;-;-;2
"250100 ARARUNA";-;-;-;-;-;-;1;-;-;-;-;-;1
"250170 BARRA DE SAO MIGUEL";-;-;-;-;1;-;-;-;-;-;-;-;1
"250180 BAYEUX";-;-;-;-;-;-;-;1;-;-;-;-;1
"250190 BELEM";-;-;-;-;-;-;1;-;-;-;-;-;1
"250215 BOA VISTA";-;-;-;-;-;-;-;-;1;-;-;-;1
"250320 CABEDELO";-;-;-;-;1;-;-;-;-;-;-;-;1
"250400 CAMPINA GRANDE";2;1;3;1;2;-;1;-;4;1;-;2;17
"250480 COREMAS";-;-;-;-;-;-;1;-;-;-;-;-;1
"250490 CRUZ DO ESPIRITO SANTO";-;-;-;-;-;-;-;-;1;-;-;-;1
"250610 FAGUNDES";-;-;-;-;-;-;1;-;-;-;-;-;1
"250730 JACARAU";-;-;-;-;-;-;-;1;-;-;-;-;1
"250750 JOAO PESSOA";1;-;-;1;-;1;1;1;1;-;1;-;7
"250930 MATARACA";-;-;-;-;-;-;1;-;-;-;-;-;1
"250940 MOGEIRO";-;-;-;-;-;-;-;-;1;-;-;-;1
"251150 PILAR";-;-;-;1;-;-;-;-;-;-;-;-;1
"251190 PITIMBU";-;-;-;-;-;1;-;1;-;-;-;-;2
"251250 QUEIMADAS";1;-;1;1;12;1;1;4;1;-;-;-;22
"251278 RIACHO DE SANTO ANTONIO";-;-;-;-;-;-;1;-;-;-;-;-;1
"251450 SAO JOSE DE PIRANHAS";-;-;-;1;-;-;-;-;-;-;-;-;1
"251540 SAO VICENTE DO SERIDO";-;-;-;-;-;-;-;-;-;1;-;-;1
"260050 AGUAS BELAS";1;-;-;1;-;-;-;-;-;-;-;1;3
"260080 ALTINHO";-;-;-;-;1;-;-;-;-;-;-;-;1
"260100 ANGELIM";-;-;1;1;-;1;1;-;1;-;-;-;5
"260105 ARACOIABA";-;-;-;-;-;-;-;-;1;-;-;-;1
"260120 ARCOVERDE";-;-;-;-;-;-;-;-;-;-;1;-;1
"260190 BEZERROS";-;-;-;-;-;1;-;-;-;-;-;-;1
"260290 CABO DE SANTO AGOSTINHO";-;-;-;-;-;-;-;-;-;1;1;-;2
"260320 CAETES";-;-;-;-;-;-;-;-;-;1;-;-;1
"260370 CANHOTINHO";-;-;-;-;-;-;-;1;-;-;-;-;1
"260440 CHA DE ALEGRIA";11;16;2;4;10;1;1;4;3;6;3;4;65
"260490 CUMARU";-;-;-;-;-;-;-;-;-;1;-;1;2
"260520 ESCADA";-;-;-;-;-;-;-;1;-;-;-;-;1
"260570 FLORESTA";-;-;-;-;-;-;-;-;1;-;-;-;1
"260600 GARANHUNS";-;-;1;-;-;-;-;-;1;-;-;-;2
"260650 IATI";-;-;-;1;-;-;1;-;-;-;-;-;2
"260720 IPOJUCA";-;-;-;-;-;-;-;-;-;1;-;-;1
"260730 IPUBI";-;-;-;-;-;-;-;-;-;1;-;-;1
"260775 ITAPISSUMA";-;1;-;-;-;-;-;-;-;-;-;-;1
"260820 JOAQUIM NABUCO";-;-;-;-;-;-;-;-;-;-;1;-;1
"260845 LAGOA DO CARRO";-;-;-;-;-;-;1;-;-;-;-;-;1
"260860 LAGOA DO OURO";-;-;-;-;-;-;-;-;-;1;-;-;1
"260880 LAJEDO";-;1;-;-;-;-;-;-;-;-;-;-;1
"260915 MANARI";-;-;2;-;1;-;1;-;-;-;-;-;4
"260940 MORENO";-;-;-;-;-;-;-;1;-;-;-;-;1
"260950 NAZARE DA MATA";-;-;-;-;-;-;-;-;-;-;-;1;1
"261020 PANELAS";-;1;-;1;-;-;-;-;-;-;-;-;2
"261030 PARANATAMA";-;-;1;-;-;-;-;-;-;-;-;-;1
"261040 PARNAMIRIM";-;-;-;-;-;-;-;-;1;-;-;-;1
"261070 PAULISTA";1;2;-;-;-;-;-;-;-;-;1;-;4
"261080 PEDRA";-;-;-;1;-;-;-;-;1;-;-;-;2
"261160 RECIFE";4;2;5;7;3;4;4;8;3;6;3;5;54
"261200 SAIRE";-;-;2;1;-;-;-;-;1;1;1;-;6
"261250 SANTA CRUZ DO CAPIBARIBE";-;1;-;-;1;1;1;1;1;1;-;-;7
"261300 SAO BENTO DO UNA";-;-;-;-;1;-;-;-;-;-;-;-;1
"261310 SAO CAITANO";-;-;-;-;-;-;-;-;-;-;1;-;1
"261320 SAO JOAO";-;-;-;-;-;2;6;1;-;1;-;-;10
"261390 SERRA TALHADA";1;1;-;-;-;-;-;1;-;-;-;-;3
"261450 SURUBIM";-;-;-;-;-;-;-;-;-;1;-;-;1
"261540 TORITAMA";-;-;-;-;-;-;1;-;-;-;-;1;2
"261620 VERTENTES";-;-;-;1;-;-;1;-;-;2;-;1;5
"270040 ATALAIA";-;1;-;-;-;-;-;-;-;-;-;-;1
"270090 BELO MONTE";-;-;-;-;-;-;-;-;-;-;1;-;1
"270110 BRANQUINHA";-;1;-;-;-;-;-;-;-;-;-;-;1
"270140 CAMPO ALEGRE";-;-;-;-;-;-;-;1;-;-;-;-;1
"270150 CAMPO GRANDE";-;1;1;-;-;-;-;-;-;-;1;-;3
"270180 CARNEIROS";-;-;-;-;-;-;1;-;-;-;-;-;1
"270230 CORURIPE";-;-;-;-;1;-;-;-;-;-;-;-;1
"270240 DELMIRO GOUVEIA";1;-;-;-;-;-;-;-;-;-;1;-;2
"270310 IGACI";-;1;-;-;-;-;-;-;-;-;-;-;1
"270360 JAPARATINGA";-;-;-;-;-;-;1;1;-;-;-;-;2
"270380 JOAQUIM GOMES";-;-;-;-;-;-;1;-;-;-;-;-;1
"270430 MACEIO";1;11;3;4;2;-;-;3;1;1;-;1;27
"270440 MAJOR ISIDORO";-;-;-;-;1;-;-;1;2;-;-;1;5
"270450 MARAGOGI";-;-;-;-;-;2;-;-;-;-;-;-;2
"270470 MARECHAL DEODORO";-;1;-;-;-;1;-;1;-;1;-;-;4
"270510 MATRIZ DE CAMARAGIBE";-;-;-;-;-;-;-;-;1;-;-;-;1
"270520 MESSIAS";-;-;-;-;1;-;-;-;-;-;-;-;1
"270550 MURICI";-;-;-;-;1;-;-;-;-;-;-;-;1
"270610 OURO BRANCO";-;-;-;1;-;-;-;-;-;-;-;-;1
"270690 PILAR";-;-;-;-;-;-;-;2;-;-;-;-;2
"270730 PORTO CALVO";-;-;-;-;-;-;-;-;-;-;-;1;1
"270780 ROTEIRO";-;-;-;1;-;-;-;-;-;-;-;-;1
"270800 SANTANA DO IPANEMA";-;-;-;-;-;-;1;-;-;-;-;-;1
"270820 SAO BRAS";-;1;-;1;-;-;-;1;-;-;-;-;3
"270840 SAO JOSE DA TAPERA";-;-;1;-;-;-;-;-;-;-;-;-;1
"270850 SAO LUIS DO QUITUNDE";-;-;-;-;-;-;-;-;-;-;1;-;1
"270860 SAO MIGUEL DOS CAMPOS";-;-;1;-;-;-;-;-;-;-;-;-;1
"270930 UNIAO DOS PALMARES";-;-;-;1;-;-;-;-;-;-;-;-;1
"270940 VICOSA";-;1;-;-;-;-;-;-;-;-;-;-;1
"280020 AQUIDABA";-;1;-;1;-;-;-;-;1;-;-;1;4
"280030 ARACAJU";2;2;2;3;4;3;1;2;2;1;3;1;26
"280140 CARIRA";-;1;-;-;-;-;-;-;-;-;-;-;1
"280160 CEDRO DE SAO JOAO";-;-;-;-;-;-;-;-;-;-;-;1;1
"280190 CUMBE";-;-;-;-;-;-;-;-;-;-;1;-;1
"280210 ESTANCIA";-;-;-;-;-;-;-;-;-;-;-;1;1
"280220 FEIRA NOVA";-;-;-;-;-;-;1;-;-;-;-;-;1
"280230 FREI PAULO";-;-;1;-;-;-;-;-;-;-;-;-;1
"280370 MACAMBIRA";-;-;-;-;-;1;1;-;-;-;-;-;2
"280410 MOITA BONITA";-;-;1;-;-;1;1;1;-;1;2;2;9
"280450 NOSSA SENHORA DA GLORIA";-;-;-;-;-;-;-;-;-;-;-;1;1
"280470 NOSSA SENHORA DE LOURDES";-;-;-;-;-;-;-;-;-;1;1;-;2
"280480 NOSSA SENHORA DO SOCORRO";-;-;-;-;-;-;-;1;-;1;1;1;4
"280520 PINHAO";-;-;-;-;-;1;-;3;-;-;-;-;4
"280550 POCO VERDE";-;-;-;-;1;-;-;2;1;-;1;-;5
"280610 ROSARIO DO CATETE";-;-;-;-;-;-;-;-;-;-;1;-;1
"280680 SAO DOMINGOS";-;-;-;-;-;1;-;-;-;-;-;-;1
"280740 TOBIAS BARRETO";1;2;-;-;-;-;-;-;-;-;-;-;3
"280760 UMBAUBA";-;-;-;-;-;-;-;1;-;1;1;2;5
"290035 ADUSTINA";-;1;-;-;-;-;-;-;-;-;-;-;1
"290115 AMERICA DOURADA";1;-;-;-;-;-;-;-;-;-;-;-;1
"290225 ARATACA";2;-;-;-;1;-;-;-;-;-;-;-;3
"290320 BARREIRAS";-;-;1;-;-;1;-;3;1;-;-;-;6
"290323 BARRO ALTO";-;1;-;-;-;-;-;1;-;-;-;-;2
"290405 BONITO";-;1;-;-;-;-;-;-;-;-;-;-;1
"290460 BRUMADO";-;-;-;-;1;-;1;-;-;-;-;-;2
"290500 CACULE";-;-;3;-;-;-;-;-;-;-;-;-;3
"290600 CAMPO FORMOSO";-;1;-;-;-;-;-;-;1;-;-;-;2
"290670 CANDIDO SALES";-;-;-;-;-;1;-;-;-;-;-;-;1
"290687 CAPIM GROSSO";-;-;-;-;-;1;-;-;-;-;-;-;1
"290689 CARAIBAS";-;2;-;-;-;1;2;-;-;-;-;-;5
"290770 CHORROCHO";-;-;-;-;-;-;-;-;-;2;-;-;2
"290810 COCOS";-;-;-;1;-;-;-;-;-;1;-;-;2
"290820 CONCEICAO DA FEIRA";-;-;-;-;-;-;1;-;-;-;-;-;1
"290840 CONCEICAO DO COITE";-;-;-;-;-;-;-;-;-;-;1;1;2
"290870 CONDEUBA";-;-;-;-;-;-;1;-;-;-;-;-;1
"290900 CORDEIROS";1;4;1;-;1;-;-;-;-;1;-;-;8
"290920 CORONEL JOAO SA";1;-;-;-;-;-;-;-;1;-;-;-;2
"290930 CORRENTINA";-;-;-;-;-;-;-;1;-;-;-;-;1
"291040 ENCRUZILHADA";-;-;1;-;-;-;-;-;-;-;-;-;1
"291080 FEIRA DE SANTANA";-;-;4;1;3;5;3;2;1;1;3;3;26
"291170 GUANAMBI";1;-;-;-;-;-;-;-;-;-;-;-;1
"291280 IBIRAPUA";1;-;-;-;2;3;-;-;-;-;-;-;6
"291380 IPECAETA";-;-;1;-;-;-;-;-;-;-;-;-;1
"291450 IRARA";-;-;-;-;2;1;-;1;-;-;1;-;5
"291460 IRECE";-;-;-;-;-;1;-;-;-;1;-;-;2
"291560 ITAMARAJU";-;-;-;-;1;-;-;-;-;-;-;1;2
"291600 ITANHEM";-;-;-;-;-;-;-;-;1;-;-;-;1
"291640 ITAPETINGA";-;1;-;-;-;-;-;-;-;-;1;-;2
"291685 ITATIM";-;-;-;-;-;-;1;-;-;-;1;-;2
"291740 JACARACI";-;-;-;-;-;-;1;1;-;-;1;-;3
"291750 JACOBINA";-;-;1;-;1;-;-;-;2;-;-;-;4
"291760 JAGUAQUARA";-;-;-;-;-;-;-;1;-;-;-;-;1
"291790 JANDAIRA";-;-;-;-;3;-;-;-;-;-;-;-;3
"291800 JEQUIE";-;-;-;-;-;1;-;1;-;-;-;-;2
"291845 JUCURUCU";-;-;-;-;-;-;-;-;1;-;-;-;1
"292180 MORTUGABA";-;-;-;2;-;-;-;1;-;-;-;-;3
"292200 MUCURI";-;-;-;1;-;-;-;-;-;-;-;-;1
"292205 MULUNGU DO MORRO";-;-;-;-;-;-;-;-;-;2;-;-;2
"292220 MUNIZ FERREIRA";-;-;-;-;-;-;-;-;-;-;-;1;1
"292240 MUTUIPE";-;1;-;-;-;-;-;-;-;-;-;-;1
"292300 NOVA VICOSA";-;-;1;-;-;-;-;-;-;-;-;-;1
"292320 OLIVEIRA DOS BREJINHOS";-;1;-;-;-;-;-;-;-;-;-;-;1
"292335 OUROLANDIA";-;-;-;-;-;-;-;-;-;-;1;-;1
"292360 PARAMIRIM";-;-;2;1;-;-;-;-;-;-;-;-;3
