 ESQUISTOSSOMOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2018
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"260870 LAGOA DOS GATOS";-;3;-;-;-;-;-;-;-;-;-;-;3
"260880 LAJEDO";1;-;-;-;-;-;-;-;-;1;-;-;2
"260950 NAZARE DA MATA";-;-;-;1;-;-;-;-;-;-;-;-;1
"260990 OURICURI";-;-;-;-;-;1;-;-;-;-;-;-;1
"261010 PALMEIRINA";-;-;-;-;-;-;-;-;-;2;-;-;2
"261020 PANELAS";-;-;-;2;-;1;-;1;-;3;1;2;10
"261030 PARANATAMA";-;-;-;-;-;-;-;-;-;1;-;-;1
"261070 PAULISTA";-;-;1;-;-;-;-;-;-;-;-;-;1
"261110 PETROLINA";-;-;-;-;-;1;1;-;1;-;-;-;3
"261160 RECIFE";4;9;10;16;8;7;10;9;9;5;5;7;99
"261170 RIACHO DAS ALMAS";-;-;-;-;-;-;1;-;-;-;-;-;1
"261250 SANTA CRUZ DO CAPIBARIBE";-;1;1;1;-;1;-;1;1;-;2;-;8
"261370 SAO LOURENCO DA MATA";1;-;3;-;-;-;-;-;-;-;-;-;4
"261390 SERRA TALHADA";1;-;-;-;-;-;-;-;-;-;-;-;1
"261470 TACAIMBO";-;1;-;-;-;-;-;-;-;-;-;-;1
"261640 VITORIA DE SANTO ANTAO";1;-;1;-;-;-;-;-;-;-;-;-;2
"270080 BELEM";-;-;-;-;1;-;-;-;-;-;-;-;1
"270150 CAMPO GRANDE";3;5;-;-;4;6;-;2;-;-;2;-;22
"270220 COQUEIRO SECO";-;-;-;-;2;-;-;-;1;-;-;-;3
"270250 DOIS RIACHOS";-;-;-;-;-;-;-;1;-;-;-;-;1
"270280 FLEXEIRAS";-;-;-;1;-;1;-;-;-;2;-;-;4
"270290 GIRAU DO PONCIANO";-;-;-;-;1;-;-;-;-;-;-;-;1
"270320 IGREJA NOVA";-;-;-;-;-;-;-;-;-;1;-;-;1
"270380 JOAQUIM GOMES";-;-;1;1;-;-;-;1;-;-;-;-;3
"270400 JUNQUEIRO";-;-;-;-;-;-;-;-;-;1;1;-;2
"270420 LIMOEIRO DE ANADIA";-;-;-;-;-;-;1;-;-;-;1;-;2
"270430 MACEIO";6;1;3;3;3;1;4;1;3;2;-;-;27
"270460 MARAVILHA";-;-;-;-;1;-;-;-;-;-;-;-;1
"270470 MARECHAL DEODORO";-;-;-;1;-;-;-;-;-;-;-;-;1
"270500 MATA GRANDE";-;1;-;-;-;-;-;-;-;-;-;-;1
"270580 OLHO D'AGUA DO CASADO";-;-;1;-;-;-;-;-;-;-;-;-;1
"270590 OLHO D'AGUA GRANDE";-;-;-;1;1;-;1;-;3;-;-;2;8
"270600 OLIVENCA";1;-;-;-;-;-;-;-;-;1;-;-;2
"270630 PALMEIRA DOS INDIOS";-;-;-;-;-;1;-;-;-;-;-;-;1
"270650 PASSO DE CAMARAGIBE";-;-;-;-;-;-;-;-;-;-;1;-;1
"270690 PILAR";-;-;-;-;-;-;-;1;-;-;-;-;1
"270760 QUEBRANGULO";-;-;-;-;-;-;-;1;-;-;-;-;1
"270800 SANTANA DO IPANEMA";-;-;-;-;-;-;-;1;-;2;-;-;3
"270820 SAO BRAS";-;-;-;1;-;1;-;-;-;-;-;-;2
"270850 SAO LUIS DO QUITUNDE";-;1;-;-;-;-;-;-;-;-;2;-;3
"270860 SAO MIGUEL DOS CAMPOS";-;-;-;-;1;-;-;-;-;-;-;-;1
"270870 SAO MIGUEL DOS MILAGRES";-;-;-;1;-;-;-;-;-;-;-;-;1
"270880 SAO SEBASTIAO";-;-;2;-;-;-;-;-;-;-;-;-;2
"270895 SENADOR RUI PALMEIRA";-;-;-;-;-;-;-;-;-;-;-;1;1
"270915 TEOTONIO VILELA";-;-;-;-;1;-;-;-;-;-;-;-;1
"270930 UNIAO DOS PALMARES";1;-;-;-;-;-;-;-;-;-;-;-;1
"270940 VICOSA";-;-;-;-;2;-;-;-;-;-;-;-;2
"280020 AQUIDABA";-;-;1;-;-;2;-;2;-;5;2;3;15
"280030 ARACAJU";-;-;-;1;1;2;-;2;-;-;2;2;10
"280050 AREIA BRANCA";4;3;-;-;-;-;-;-;-;-;-;-;7
"280110 CANHOBA";-;-;-;-;1;-;1;-;-;-;-;-;2
"280120 CANINDE DE SAO FRANCISCO";-;1;-;-;-;-;-;1;-;-;-;-;2
"280140 CARIRA";-;-;-;-;-;-;-;-;-;-;-;1;1
"280190 CUMBE";1;-;-;1;-;-;-;-;-;-;1;-;3
"280230 FREI PAULO";1;1;-;-;-;-;-;-;-;-;-;-;2
"280240 GARARU";-;-;-;1;-;-;-;1;-;-;1;-;3
"280340 JAPOATA";-;-;2;2;1;-;4;-;-;-;-;-;9
"280370 MACAMBIRA";-;-;-;1;-;-;-;-;-;-;-;-;1
"280380 MALHADA DOS BOIS";-;-;1;1;-;-;-;1;1;-;1;-;5
"280410 MOITA BONITA";-;-;-;1;1;-;-;-;-;-;-;-;2
"280450 NOSSA SENHORA DA GLORIA";2;-;-;-;-;-;-;1;-;1;-;-;4
"280480 NOSSA SENHORA DO SOCORRO";-;-;-;-;-;-;-;-;-;-;1;-;1
"280500 PEDRA MOLE";-;-;-;-;1;1;-;-;-;1;-;-;3
"280550 POCO VERDE";-;-;-;-;1;-;-;1;-;-;-;-;2
"280570 PROPRIA";-;-;-;-;-;-;-;-;1;1;-;-;2
"280580 RIACHAO DO DANTAS";8;-;8;12;1;-;-;-;-;-;-;-;29
"280600 RIBEIROPOLIS";1;-;1;-;-;1;1;-;1;-;-;1;6
"280620 SALGADO";-;-;1;-;-;-;-;-;-;-;-;-;1
"280660 SANTO AMARO DAS BROTAS";-;-;-;1;4;1;1;1;-;2;1;-;11
"280680 SAO DOMINGOS";1;-;-;1;-;-;-;-;-;1;1;2;6
"280760 UMBAUBA";2;-;-;-;-;-;-;-;-;-;1;-;3
"290080 ALCOBACA";-;-;-;-;-;1;-;-;-;-;-;-;1
"290090 ALMADINA";-;-;1;-;-;1;-;-;-;-;1;-;3
"290120 ANAGE";-;-;-;-;-;-;-;1;1;-;-;-;2
"290160 ANTAS";1;-;-;-;-;-;-;-;-;-;-;-;1
"290195 APUAREMA";-;-;1;-;-;-;-;-;-;-;-;-;1
