 ESQUISTOSSOMOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2014
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";1;-;-;-;-;-;-;-;-;-;-;-;1
"110002 ARIQUEMES";-;-;-;-;-;-;-;-;-;-;-;2;2
"110004 CACOAL";-;-;-;1;-;1;-;1;-;-;-;-;3
"110006 COLORADO DO OESTE";-;-;-;-;-;-;-;-;1;-;-;1;2
"110009 ESPIGAO D'OESTE";-;-;-;-;-;-;1;-;-;-;-;-;1
"110011 JARU";-;-;-;1;-;-;-;-;-;-;-;1;2
"110012 JI-PARANA";-;-;-;-;1;-;1;-;1;-;1;1;5
"110015 OURO PRETO DO OESTE";-;-;-;-;-;-;3;2;2;3;-;-;10
"110018 PIMENTA BUENO";-;-;-;-;-;-;-;-;-;-;1;-;1
"110020 PORTO VELHO";-;-;-;-;-;-;1;-;-;-;-;-;1
"110025 PRESIDENTE MEDICI";-;-;-;-;-;-;1;1;-;-;1;-;3
"110034 ALVORADA D'OESTE";-;1;-;-;-;-;-;-;-;-;-;-;1
"110037 ALTO ALEGRE DOS PARECIS";-;-;1;1;-;-;-;-;-;-;-;-;2
"110143 NOVA UNIAO";-;-;-;-;1;-;-;-;-;-;-;-;1
"150080 ANANINDEUA";1;1;-;-;2;2;4;1;-;1;3;-;15
"150140 BELEM";-;-;-;-;-;-;1;-;-;-;-;-;1
"150175 BREJO GRANDE DO ARAGUAIA";-;1;-;-;-;-;-;-;-;-;-;-;1
"150195 CACHOEIRA DO PIRIA";-;-;-;-;-;-;8;-;-;-;-;-;8
"150420 MARABA";-;-;-;-;1;-;-;-;-;-;-;-;1
"150470 MOJU";-;1;-;-;-;-;-;-;-;-;-;-;1
"170210 ARAGUAINA";-;-;1;1;-;-;-;-;-;-;-;-;2
"170550 COLINAS DO TOCANTINS";-;-;-;2;-;-;-;-;-;-;-;-;2
"171488 NOVA OLINDA";-;-;-;-;1;-;1;-;-;-;-;-;2
"171570 PALMEIRANTE";-;-;1;-;-;-;-;-;-;-;-;-;1
"172100 PALMAS";-;-;-;-;-;-;-;-;1;-;-;-;1
"210315 CENTRO DO GUILHERME";-;-;-;-;-;1;2;5;2;-;-;-;10
"210340 COELHO NETO";-;-;-;-;-;-;1;-;-;-;-;-;1
"210750 PACO DO LUMIAR";-;-;-;-;-;-;-;1;-;-;-;-;1
"210770 PARAIBANO";-;-;-;-;-;-;-;-;-;-;1;-;1
"210910 PRESIDENTE DUTRA";1;-;-;-;-;-;-;-;-;-;-;-;1
"211120 SAO JOSE DE RIBAMAR";-;1;-;-;-;-;-;-;-;-;-;-;1
"211290 VITORIA DO MEARIM";-;-;-;1;-;-;-;-;-;-;-;-;1
"211400 ZE DOCA";-;-;-;-;-;-;-;-;-;-;2;-;2
"230210 BATURITE";-;-;-;-;1;-;1;2;3;-;-;-;7
"230250 BREJO SANTO";-;-;-;-;-;-;-;-;-;-;-;7;7
"230440 FORTALEZA";-;-;-;-;1;-;1;-;-;-;-;-;2
"230533 IBICUITINGA";-;-;-;-;-;-;-;-;-;-;-;1;1
"230730 JUAZEIRO DO NORTE";-;-;-;-;1;-;-;-;-;-;-;-;1
"230780 MARCO";-;-;-;-;1;-;-;-;-;-;-;-;1
"231110 PORTEIRAS";-;-;-;-;-;-;-;-;-;-;-;1;1
"231230 SAO BENEDITO";-;-;-;-;-;-;-;-;-;1;1;1;3
"240810 NATAL";-;1;-;-;1;1;3;3;1;1;1;-;12
"240820 NISIA FLORESTA";-;-;-;-;-;-;-;-;3;-;-;-;3
"250053 ALCANTIL";-;-;1;1;1;-;1;-;-;-;1;-;5
"250110 AREIA";-;-;-;-;2;-;-;-;-;-;-;-;2
"250130 AROEIRAS";-;-;-;-;-;-;-;-;1;9;7;10;27
"250140 BAIA DA TRAICAO";-;-;-;-;-;-;-;2;1;-;-;-;3
"250150 BANANEIRAS";1;-;-;-;-;-;-;-;-;-;-;-;1
"250180 BAYEUX";-;-;-;3;-;-;1;-;-;-;-;-;4
"250190 BELEM";-;-;-;-;-;-;-;1;1;-;-;-;2
"250250 BOQUEIRAO";-;1;-;-;1;-;-;1;-;-;1;-;4
"250320 CABEDELO";-;-;-;-;1;-;4;1;1;1;-;-;8
"250403 CAPIM";-;1;-;-;-;-;-;-;-;-;-;-;1
"250435 CATURITE";-;-;-;-;-;-;1;-;-;-;-;-;1
"250520 CUITEGI";-;-;-;-;-;-;-;-;1;-;-;-;1
"250640 GURINHEM";-;-;-;1;-;-;-;-;-;-;-;-;1
"250720 ITATUBA";-;-;-;-;-;-;1;-;-;-;-;2;3
"250750 JOAO PESSOA";-;-;-;1;-;-;1;-;-;1;-;-;3
"250890 MAMANGUAPE";-;-;-;-;-;-;1;-;-;-;-;-;1
"250910 MARI";-;-;-;-;1;-;-;-;-;-;-;-;1
"250930 MATARACA";-;-;-;-;-;-;-;-;-;1;-;1;2
"251120 PEDRAS DE FOGO";2;1;2;1;2;1;-;3;2;3;-;-;17
"251180 PIRPIRITUBA";-;-;-;1;-;-;-;-;-;1;-;-;2
"251250 QUEIMADAS";-;-;-;-;-;-;-;-;-;1;1;1;3
"251278 RIACHO DE SANTO ANTONIO";-;-;-;-;-;-;-;1;-;-;-;-;1
"251310 SALGADO DE SAO FELIX";-;-;-;-;-;-;-;1;1;4;2;-;8
"251445 SAO JOSE DOS RAMOS";-;1;-;-;-;-;-;-;-;1;-;-;2
"251590 SERRARIA";-;-;1;1;-;-;-;-;-;-;-;-;2
