 ESQUISTOSSOMOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2015
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110004 CACOAL";-;-;1;-;-;-;-;-;-;-;-;-;1
"110006 COLORADO DO OESTE";-;-;-;-;-;-;-;1;-;-;-;-;1
"110009 ESPIGAO D'OESTE";-;-;-;-;1;-;-;-;-;-;-;-;1
"110011 JARU";-;1;-;-;-;-;-;-;-;-;2;2;5
"110012 JI-PARANA";-;-;-;1;1;1;-;-;-;-;-;-;3
"110015 OURO PRETO DO OESTE";1;-;1;-;3;4;1;2;1;2;8;-;23
"110025 PRESIDENTE MEDICI";-;-;-;-;-;-;1;-;-;-;1;-;2
"110028 ROLIM DE MOURA";1;-;-;-;-;-;-;-;-;-;-;-;1
"110030 VILHENA";-;-;-;-;-;-;-;1;-;-;-;-;1
"110032 SAO MIGUEL DO GUAPORE";-;-;-;-;2;-;-;-;-;-;-;-;2
"110120 MINISTRO ANDREAZZA";-;-;-;-;-;-;-;-;-;-;-;1;1
"130014 APUI";-;1;-;-;-;1;-;-;-;-;-;-;2
"150060 ALTAMIRA";-;-;-;1;-;-;-;-;-;-;-;-;1
"150080 ANANINDEUA";1;1;-;-;-;1;1;-;-;2;-;-;6
"150178 BREU BRANCO";-;1;-;-;-;-;-;-;-;-;-;-;1
"150195 CACHOEIRA DO PIRIA";-;-;-;-;-;-;3;-;-;-;-;-;3
"150240 CASTANHAL";-;-;-;-;-;-;1;-;-;-;1;-;2
"150613 REDENCAO";-;-;-;-;1;-;-;-;-;-;-;-;1
"170100 ANANAS";-;-;-;-;-;-;-;-;1;-;-;-;1
"171610 PARAISO DO TOCANTINS";-;-;-;-;-;-;-;-;-;-;1;-;1
"210315 CENTRO DO GUILHERME";-;-;1;2;-;3;2;2;-;-;2;-;12
"210360 COROATA";-;-;-;-;-;-;1;-;-;-;-;-;1
"210530 IMPERATRIZ";-;-;1;1;-;-;-;-;-;-;-;-;2
"210735 NOVA OLINDA DO MARANHAO";-;-;1;-;-;-;-;-;-;-;-;-;1
"210905 PORTO RICO DO MARANHAO";-;-;-;-;-;-;1;-;-;-;-;-;1
"220800 PICOS";1;-;-;-;-;-;-;-;-;-;-;-;1
"230120 ARACOIABA";1;-;5;1;1;-;-;-;-;-;2;-;10
