LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2023
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110002 Ariquemes";2;-;-;-;-;-;-;-;-;-;-;-;2
"110045 Buritis";-;-;-;1;-;-;-;-;-;-;-;-;1
"110004 Cacoal";-;-;1;-;-;-;-;-;1;1;-;-;3
"110070 Campo Novo de Rondônia";-;-;2;-;-;-;-;-;-;-;-;-;2
"110094 Cujubim";-;-;-;1;1;-;-;-;-;-;-;-;2
"110014 Nova Brasilândia D'Oeste";2;-;1;1;-;-;-;-;-;-;-;-;4
"110050 Novo Horizonte do Oeste";-;-;1;-;-;-;-;-;-;-;-;-;1
"110020 Porto Velho";-;2;-;1;1;-;-;-;-;-;1;-;5
"110025 Presidente Médici";-;-;-;-;-;1;-;-;-;-;-;1;2
"110030 Vilhena";-;-;-;1;-;-;-;-;-;-;-;-;1
"120001 Acrelândia";-;-;1;-;-;-;-;-;-;-;-;-;1
"120010 Brasiléia";-;-;-;1;1;-;-;-;-;-;-;-;2
"120020 Cruzeiro do Sul";6;5;7;9;11;4;2;4;-;1;-;2;51
"120030 Feijó";1;1;1;3;-;-;-;-;-;-;1;-;7
"120033 Mâncio Lima";-;-;-;-;-;1;-;3;-;1;-;-;5
"120035 Marechal Thaumaturgo";-;-;4;4;5;-;-;-;-;-;-;-;13
"120040 Rio Branco";-;3;14;35;14;6;2;2;-;3;2;4;85
"120042 Rodrigues Alves";1;-;-;-;-;1;-;1;1;-;-;-;4
"120050 Sena Madureira";-;-;1;-;-;-;-;-;-;-;-;-;1
"120060 Tarauacá";-;-;-;-;-;-;-;1;-;-;-;-;1
"120070 Xapuri";-;-;1;1;-;-;-;-;-;-;-;-;2
"130010 Anori";-;-;-;-;-;-;-;1;-;-;-;-;1
"130150 Envira";-;1;-;1;-;-;-;-;-;-;-;-;2
"130170 Humaitá";-;-;-;-;-;-;-;-;-;-;1;-;1
"130190 Itacoatiara";-;-;-;-;-;-;-;-;-;-;-;1;1
"130260 Manaus";2;4;3;2;6;1;-;2;-;1;2;1;24
"130406 Tabatinga";-;-;1;-;-;-;-;-;-;-;-;-;1
"140010 Boa Vista";-;-;-;-;-;-;2;1;-;-;-;-;3
"150010 Abaetetuba";-;1;1;2;1;-;1;-;-;-;-;-;6
"150060 Altamira";-;-;-;-;-;1;-;-;-;-;1;-;2
"150080 Ananindeua";1;2;-;2;1;-;-;-;-;-;-;-;6
"150140 Belém";-;7;1;3;3;6;-;4;-;2;2;3;31
"150170 Bragança";-;3;1;-;-;-;-;1;-;-;-;-;5
"150180 Breves";-;1;-;-;-;-;-;-;-;1;-;-;2
"150210 Cametá";1;-;-;1;-;-;-;2;-;1;1;-;6
"150240 Castanhal";2;2;2;1;-;2;1;2;1;-;1;2;16
"150320 Igarapé-Açu";-;-;-;2;-;-;-;-;-;-;-;-;2
"150340 Inhangapi";-;-;-;1;1;-;-;-;-;-;-;-;2
"150420 Marabá";-;-;-;-;1;-;-;-;1;1;-;-;3
"150442 Marituba";-;-;2;-;-;-;-;-;-;-;-;-;2
"150510 Óbidos";-;1;-;1;-;1;-;1;-;-;-;-;4
"150530 Oriximiná";-;1;-;-;-;-;-;-;-;-;-;-;1
"150650 Santa Izabel do Pará";-;-;1;-;-;-;-;-;-;-;-;-;1
"150655 Santa Luzia do Pará";-;-;1;-;-;-;-;-;-;-;-;-;1
"150680 Santarém";-;1;2;-;-;-;-;-;-;-;-;-;3
"160030 Macapá";1;1;1;2;-;1;2;2;1;1;-;1;13
"160050 Oiapoque";-;-;1;-;-;-;-;-;-;-;-;-;1
"160060 Santana";-;2;-;-;1;-;3;1;-;-;2;-;9
"170210 Araguaína";-;-;1;2;-;-;-;1;1;-;2;-;7
"170410 Centenário";-;-;-;-;-;-;-;1;-;-;-;-;1
"170930 Guaraí";-;-;-;-;-;-;-;-;-;1;-;-;1
"172100 Palmas";-;-;-;-;-;1;-;-;1;-;-;-;2
"171650 Pedro Afonso";-;-;-;-;1;-;-;-;-;-;-;-;1
"171820 Porto Nacional";-;-;-;1;-;-;-;-;-;-;-;-;1
"171850 Recursolândia";-;-;-;-;1;1;-;-;3;-;-;-;5
"172097 Talismã";-;-;-;-;-;-;1;-;-;-;-;-;1
"210120 Bacabal";2;-;2;-;-;-;-;-;-;-;-;-;4
"210207 Bom Lugar";-;-;1;-;-;-;-;-;-;-;-;-;1
"210450 Governador Archer";-;-;-;-;5;-;-;-;-;-;-;-;5
"210820 Pedreiras";-;-;1;3;2;-;-;-;-;-;-;-;6
"210910 Presidente Dutra";-;-;-;-;1;-;-;-;-;-;-;-;1
"211000 Santa Luzia";-;-;-;-;-;-;-;2;-;-;-;-;2
"211130 São Luís";-;4;2;6;6;4;1;1;-;-;-;-;24
"211220 Timon";-;-;-;-;1;-;-;-;-;-;-;-;1
"220390 Floriano";-;-;-;-;2;-;1;-;-;-;-;-;3
"220770 Parnaíba";-;-;-;-;1;-;-;-;-;-;-;-;1
"221100 Teresina";-;-;-;6;3;-;-;-;-;-;-;1;10
"230120 Aracoiaba";-;1;-;-;-;-;-;-;-;1;-;-;2
"230170 Aurora";-;-;-;1;-;-;-;-;-;-;-;-;1
"230250 Brejo Santo";-;-;-;-;-;-;-;-;-;1;-;-;1
"230370 Caucaia";1;1;1;-;-;-;-;-;-;-;-;-;3
"230420 Crato";-;-;-;-;-;-;-;-;-;-;1;-;1
"230427 Ererê";-;-;-;-;-;-;1;-;-;-;-;-;1
"230430 Farias Brito";-;-;-;-;1;-;-;-;-;-;-;-;1
"230440 Fortaleza";5;6;4;6;3;10;3;-;5;5;3;2;52
"230445 Fortim";-;-;-;-;-;-;-;-;-;-;-;1;1
"230550 Iguatu";-;1;-;-;-;-;-;-;-;-;-;-;1
"230580 Ipu";-;-;-;-;-;1;-;-;-;-;-;-;1
"230640 Itapipoca";-;-;-;1;-;-;-;-;-;-;-;-;1
"230730 Juazeiro do Norte";-;-;-;1;2;2;1;-;-;-;-;-;6
"230760 Limoeiro do Norte";-;-;-;-;1;-;1;-;-;-;-;-;2
"230765 Maracanaú";-;1;-;-;-;-;-;-;-;-;-;-;1
"230770 Maranguape";-;-;-;-;1;1;-;-;1;-;-;-;3
"230980 Pacoti";-;-;-;1;-;-;-;-;-;-;-;-;1
"231140 Quixeramobim";-;1;-;-;-;-;-;-;-;-;-;-;1
"231290 Sobral";1;-;-;-;-;2;-;-;-;-;-;-;3
"231400 Várzea Alegre";-;-;-;3;1;2;1;-;-;-;-;-;7
"240200 Caicó";1;-;1;-;-;-;1;-;-;-;-;-;3
"240320 Doutor Severiano";-;1;-;-;-;-;-;-;-;-;-;-;1
"240400 Frutuoso Gomes";-;-;-;-;-;-;1;-;-;-;-;-;1
"240570 Jardim do Seridó";1;-;-;-;-;-;-;-;-;-;-;-;1
"240610 Jucurutu";-;-;-;-;-;-;1;-;-;-;-;-;1
"240800 Mossoró";-;-;-;-;1;-;-;-;-;-;-;-;1
"240810 Natal";-;1;1;1;1;1;1;2;-;-;-;-;8
"240940 Pau dos Ferros";-;-;-;-;1;-;-;-;-;-;-;-;1
"241300 São Vicente";-;1;-;-;-;-;-;-;-;-;-;-;1
"241355 Serrinha dos Pintos";-;-;-;1;-;-;-;-;2;-;-;-;3
"250280 Brejo do Cruz";-;-;-;-;-;-;-;1;-;-;-;-;1
"250370 Cajazeiras";-;-;1;-;-;-;-;-;-;-;-;-;1
"250400 Campina Grande";-;-;-;-;3;1;3;3;-;-;-;1;11
"250750 João Pessoa";-;2;2;2;2;2;4;-;1;-;-;-;15
"251280 Riacho dos Cavalos";-;-;-;-;-;1;-;-;-;-;-;-;1
"251620 Sousa";-;-;-;-;-;-;1;-;-;-;-;-;1
"260005 Abreu e Lima";-;-;-;1;-;-;-;-;-;-;-;-;1
"260120 Arcoverde";-;-;-;-;-;-;-;1;-;-;-;-;1
"260290 Cabo de Santo Agostinho";-;-;1;1;-;4;9;3;1;1;-;-;20
"260345 Camaragibe";-;-;1;-;-;-;-;-;-;-;-;-;1
"260410 Caruaru";-;-;1;1;-;-;1;2;2;1;-;-;8
"260415 Casinhas";-;1;-;-;-;-;-;-;-;-;-;-;1
"260790 Jaboatão dos Guararapes";-;-;-;-;2;4;7;1;1;-;-;1;16
"260845 Lagoa do Carro";-;-;-;-;-;-;1;-;-;-;-;-;1
"260890 Limoeiro";-;-;-;-;-;-;-;1;-;-;-;-;1
"260960 Olinda";-;-;1;-;1;-;1;-;-;-;-;-;3
"261000 Palmares";-;-;1;-;-;-;1;1;-;-;-;-;3
"261070 Paulista";-;-;-;1;3;-;7;4;-;2;-;-;17
"261160 Recife";5;10;8;15;10;24;38;14;8;4;4;2;142
"261330 São Joaquim do Monte";-;-;-;-;-;-;1;-;-;-;-;-;1
"261370 São Lourenço da Mata";-;-;-;-;1;-;-;-;-;-;-;-;1
"261390 Serra Talhada";-;-;-;-;-;1;-;-;-;-;-;-;1
"261640 Vitória de Santo Antão";-;-;-;1;-;2;-;1;-;-;-;-;4
"270170 Capela";1;-;-;-;-;-;1;-;-;-;-;-;2
"270380 Joaquim Gomes";-;-;-;-;-;-;-;1;-;-;-;-;1
"270430 Maceió";2;2;1;3;4;8;13;1;2;1;1;2;40
"270450 Maragogi";-;-;-;-;-;-;1;-;-;-;-;-;1
"270510 Matriz de Camaragibe";-;-;-;-;-;-;-;1;-;-;-;-;1
"270550 Murici";-;-;-;-;-;-;3;-;-;-;-;-;3
"270730 Porto Calvo";-;-;-;-;-;-;1;-;-;-;-;-;1
"270810 Santana do Mundaú";-;-;-;-;-;-;-;-;2;-;-;-;2
"270930 União dos Palmares";-;-;-;-;-;-;3;-;1;-;-;-;4
"280030 Aracaju";2;1;-;3;4;5;4;2;1;3;3;-;28
"280290 Itabaiana";-;1;1;-;-;1;-;-;1;-;-;-;4
"280440 Neópolis";-;-;-;-;-;-;-;-;-;-;-;1;1
"280450 Nossa Senhora da Glória";-;-;-;-;-;-;-;-;1;-;-;-;1
"280480 Nossa Senhora do Socorro";-;-;-;1;-;-;2;-;-;1;-;-;4
"280670 São Cristóvão";-;-;-;-;-;1;-;1;-;-;-;-;2
"290390 Bom Jesus da Lapa";1;-;-;-;-;-;-;-;-;-;-;-;1
"290630 Canavieiras";-;-;1;1;-;-;-;1;-;-;-;-;3
"291005 Dias d'Ávila";-;-;-;-;-;-;1;-;-;-;-;-;1
"291080 Feira de Santana";-;1;-;-;1;-;-;-;-;-;-;-;2
"291360 Ilhéus";1;-;2;-;1;3;-;2;-;-;-;-;9
"291460 Irecê";-;1;-;-;-;-;-;-;-;-;-;-;1
